player,pos,team,salary,caphit
Patrick Roy,G,MTL,1247520,
Denis Savard,C,MTL,974625,
Kirk Muller,LW,MTL,682238,
Brian Bellows,LW,MTL,584775,
Guy Carbonneau,C,MTL,565283,
Brian Skrudland,C,MTL,506805,
Eric Desjardins,D,MTL,428835,
Rob Ramage,D,MTL,375000,
Gilbert Dionne,LW,MTL,350865,
Stéphan Lebeau,C,MTL,311880,
Mathieu Schneider,D,MTL,296286,
Mike Keane,RW,MTL,272895,
Jean-Jacques Daigneault,D,MTL,233910,
Lyle Odelein,D,MTL,233910,
Todd Ewen,RW,MTL,214418,
Patrick Carnback,RW,MTL,194925,
Patric Kjellberg,LW,MTL,194925,
Sean Hill,D,MTL,175433,
John LeClair,LW,MTL,175433,
Benoit Brunet,LW,MTL,163737,
Mario Roberge,C,MTL,163737,
Donald Dufresne,D,MTL,144245,
Jesse Bélanger,C,MTL,140346,
Eric Charron,D,MTL,124752,
Ed Ronan,RW,MTL,124752,
Kevin Haller,D,MTL,116955,
Turner Stevenson,RW,MTL,109158,
Paul DiPietro,C,MTL,107599,
Frederic Chabot,G,MTL,101361,
Patrice Brisebois,D,MTL,93564,
Chris Winnes,RW,BOS,1450000,
Raymond Bourque,D,BOS,1197000,
Andy Moog,G,BOS,1100000,
Cam Neely,LW,BOS,1000000,
Adam Oates,C,BOS,460000,
Dave Poulin,C,BOS,400000,
Glen Featherstone,D,BOS,325000,
Vladimir Ruzicka,C,BOS,315000,
Don Sweeney,D,BOS,307000,
Gordie Roberts,D,BOS,275000,
Glen Murray,RW,BOS,265000,
Steve Leach,RW,BOS,255000,
Joé Juneau,C,BOS,250000,
Jim Wiemer,D,BOS,250000,
Jozef Stumpel,C,BOS,231000,
Sergei Zholtok,C,BOS,220000,
Darin Kimble,C,BOS,200000,
Gord Murphy,D,BOS,200000,
Ted Donato,LW,BOS,175000,
Steve Heinze,RW,BOS,160000,
Dominic Lavoie,D,BOS,148143,
Darren Banks,LW,BOS,97463,
Bob Kudelski,C,OTT,375000,
Mark Lamb,C,OTT,292388,
Peter Sidorkiewicz,G,OTT,272895,
Sylvain Turgeon,LW,OTT,272895,
Daniel Berthiaume,G,OTT,253403,
Mike Peluso,D,OTT,253403,
Laurie Boschman,LW,OTT,194925,
Brad Marsh,D,OTT,194925,
Andrew McBain,RW,OTT,175433,
Rob Murphy,C,OTT,175433,
Darcy Loewen,LW,OTT,163737,
Brad Miller,D,OTT,155940,
Ken Hammond,D,OTT,152042,
Mark Freer,C,OTT,148143,
Dominic Lavoie,D,OTT,148143,
Jody Hull,RW,OTT,136448,
Kent Paynter,D,OTT,136448,
Lonnie Loach,LW,OTT,120854,
Marc Osiecki,D,OTT,116955,
Darren Rumble,D,OTT,116955,
Grant Fuhr,G,TOR,1247520,
John Cullen,C,TOR,900000,
Doug Gilmour,C,TOR,779700,
Dave Ellett,D,TOR,565283,
Dave Andreychuk,LW,TOR,535000,
Wendel Clark,LW,TOR,467820,
Jamie Macoun,D,TOR,428835,
Bob Rouse,D,TOR,370358,
Mike Krushelnyski,C,TOR,350865,
Peter Zezel,C,TOR,319677,
Nikolai Borschevsky,RW,TOR,292388,
Ken Baumgartner,RW,TOR,257301,
Todd Gill,D,TOR,253403,
Dmitri Mironov,D,TOR,240927,
Mark Osborne,LW,TOR,233910,
Rick Wamsley,G,TOR,233910,
Mike Foligno,C,TOR,218316,
Sylvain Lefebvre,D,TOR,214418,
Dave McLlwain,C,TOR,214418,
Bill Berg,C,TOR,175000,
Bob McGill,D,TOR,159839,
Darryl Shannon,D,TOR,155940,
