player,pos,team,salary,caphit
Denis Savard,C,MTL,1084000,
Patrick Roy,G,MTL,1040640,
Guy Carbonneau,C,MTL,802160,
Russ Courtnall,RW,MTL,724112,
Shayne Corson,LW,MTL,650400,
Mathieu Schneider,D,MTL,381568,
Mike McPhee,RW,MTL,286176,
Brian Skrudland,C,MTL,286176,
Kirk Muller,LW,MTL,281840,
Chris Nilan,RW,MTL,275000,
Todd Ewen,RW,MTL,238480,
Sylvain Turgeon,LW,MTL,216800,
Lyle Odelein,D,MTL,199456,
Alain Côté,D,MTL,173440,
Jean-Jacques Daigneault,D,MTL,156096,
Brent Gilchrist,C,MTL,156096,
Mike Keane,RW,MTL,156096,
Stéphan Lebeau,C,MTL,151760,
Sylvain Lefebvre,D,MTL,151760,
Kevin Haller,D,MTL,150000,
John LeClair,LW,MTL,147424,
Donald Dufresne,D,MTL,130080,
Roland Melanson,G,MTL,130080,
Eric Desjardins,D,MTL,121408,
Mario Roberge,C,MTL,121408,
Raymond Bourque,D,BOS,1196000,
Cam Neely,LW,BOS,800000,
Glen Wesley,D,BOS,425000,
Bobby Carpenter,C,BOS,370000,
Barry Pederson,C,BOS,365000,
Glen Featherstone,D,BOS,350000,
Craig Janney,C,BOS,350000,
Dave Poulin,C,BOS,325000,
Vladimir Ruzicka,C,BOS,305000,
Daniel Berthiaume,G,BOS,300000,
Andy Moog,G,BOS,300000,
Brent Ashton,C,BOS,290000,
Petri Skriko,C,BOS,281840,
Chris Nilan,RW,BOS,275000,
Adam Oates,C,BOS,250000,
Stéphane Quintal,D,BOS,210000,
Bob Sweeney,C,BOS,200000,
Dave Thomlinson,LW,BOS,200000,
Garry Galley,D,BOS,198000,
Andy Brickley,LW,BOS,195000,
Steve Leach,RW,BOS,190000,
Gord Murphy,D,BOS,180000,
Lyndon Byers,LW,BOS,175000,
Wes Walz,C,BOS,175000,
Jim Wiemer,D,BOS,175000,
Don Sweeney,D,BOS,150000,
Peter Douris,RW,BOS,140000,
Alan Stewart,LW,BOS,140000,
Jeff Lazaro,RW,BOS,115000,
Bob Beers,D,BOS,110000,
Dave Ellett,D,TOR,607040,
Wendel Clark,LW,TOR,520320,
Doug Gilmour,C,TOR,411920,
Gary Leeman,LW,TOR,398912,
Mike Krushelnyski,C,TOR,390240,
Mike Bullard,C,TOR,371162,
Daniel Marois,RW,TOR,368560,
Grant Fuhr,G,TOR,367693,
Peter Zezel,C,TOR,346880,
Ken Baumgartner,RW,TOR,325000,
Glenn Anderson,RW,TOR,303520,
Todd Gill,D,TOR,281840,
Jamie Macoun,D,TOR,265363,
Mike Foligno,C,TOR,260160,
Ric Nattress,D,TOR,260160,
Mark Osborne,LW,TOR,260160,
Michel Petit,D,TOR,260160,
Craig Berube,LW,TOR,251488,
Rick Wamsley,G,TOR,242816,
Ken Linseman,RW,TOR,229808,
Bob Rouse,D,TOR,216800,
Dave McLlwain,C,TOR,200000,
Brian Bradley,C,TOR,199456,
Tom Fergus,C,TOR,195120,
Bob Halkidis,D,TOR,173440,
Darryl Shannon,D,TOR,173440,
Claude Loiselle,C,TOR,164768,
Jeff Reese,G,TOR,160432,
Lucien DeBlois,RW,TOR,156096,
Dave Hannan,LW,TOR,156096,
Scott Thornton,C,TOR,143088,
Alexander Godynyuk,D,TOR,138752,
Rob Pearson,RW,TOR,112736,
Robert Cimetta,LW,TOR,108400,
Pat Lafontaine,C,BUF,1400000,
Pierre Turgeon,C,BUF,700000,
Dale Hawerchuk,C,BUF,650000,
Dave Andreychuk,LW,BUF,421000,
Rick Vaive,RW,BUF,400000,
Uwe Krupp,D,BUF,382000,
Tony Tanti,RW,BUF,350000,
Christian Ruuttu,C,BUF,345000,
Mike Ramsey,D,BUF,330000,
Doug Bodger,D,BUF,275000,
Randy Hillier,D,BUF,275000,
Randy Moller,D,BUF,260000,
Jay Wells,D,BUF,260000,
Clint Malarchuk,G,BUF,258000,
Colin Patterson,C,BUF,250000,
Wayne Presley,RW,BUF,250000,
Randy Wood,LW,BUF,240000,
Dave Snuggerud,LW,BUF,235000,
Daren Puppa,G,BUF,215000,
Grant Ledyard,D,BUF,205000,
Dave McLlwain,C,BUF,200000,
Rob Ray,RW,BUF,195000,
Brad Miller,D,BUF,190000,
Alexander Mogilny,RW,BUF,175000,
Brad May,LW,BUF,165000,
Benoit Hogue,LW,BUF,160000,
Dave Hannan,LW,BUF,156096,
Darrin Shannon,LW,BUF,151760,
Donald Audette,RW,BUF,150000,
Kevin Haller,D,BUF,150000,
Ken Sutton,D,BUF,140000,
Scott Stevens,D,NJD,1155000,
Stéphane Richer,RW,NJD,750000,
Claude Lemieux,RW,NJD,650000,
Peter Stastny,C,NJD,560000,
Ken Daneyko,D,NJD,450000,
Alexei Kasatonov,D,NJD,400000,
Scott Niedermayer,D,NJD,400000,
Patrik Sundstrom,C,NJD,330000,
Eric Weinrich,D,NJD,300000,
Walt Poddubny,RW,NJD,280000,
Dave Barr,RW,NJD,275000,
Bruce Driver,D,NJD,275000,
Viacheslav Fetisov,D,NJD,275000,
Laurie Boschman,LW,NJD,250000,
Chris Terreri,G,NJD,165000,
Tom Chorske,LW,NJD,160000,
Kevin Todd,C,NJD,155000,
Tommy Albelin,D,NJD,150000,
Craig Billington,G,NJD,150000,
Zdeno Ciger,LW,NJD,140000,
Pat Conacher,LW,NJD,140000,
Alan Stewart,LW,NJD,140000,
Doug Brown,RW,NJD,135000,
Randy McKay,RW,NJD,135000,
Troy Mallette,LW,NJD,130080,
Claude Vilgrain,RW,NJD,125000,
Pierre Turgeon,C,NYI,700000,
Uwe Krupp,D,NYI,382000,
Brent Sutter,C,NYI,370000,
Daniel Marois,RW,NYI,368560,
Ken Baumgartner,RW,NYI,325000,
Tom Kurvers,D,NYI,325000,
Ray Ferraro,C,NYI,320000,
Pat Flatley,RW,NYI,315000,
Joe Reekie,D,NYI,285000,
Randy Hillier,D,NYI,275000,
Jeff Norton,D,NYI,260000,
Glenn Healy,G,NYI,240000,
Wayne McBean,D,NYI,240000,
Randy Wood,LW,NYI,240000,
Gary Nylund,D,NYI,225000,
Dave McLlwain,C,NYI,200000,
Derek King,LW,NYI,185000,
Hubie McDonough,C,NYI,185000,
Rich Pilon,D,NYI,185000,
Mick Vukota,RW,NYI,185000,
Brad Lauer,LW,NYI,175000,
Claude Loiselle,C,NYI,164768,
Bill Berg,C,NYI,160000,
