player,pos,salary,caphit
Leon Draisaitl,C,1000000,14000000
Auston Matthews,C,13250000,13250000
Nathan MacKinnon,C,800000,12600000
Connor McDavid,C,10000000,12500000
Mitch Marner,RW,12000000,12000000
Mikko Rantanen,RW,9400000,12000000
Artemi Panarin,LW,1000000,11642858
Elias Pettersson,C,4500000,11600000
Erik Karlsson,D,4000000,11500000
William Nylander,RW,3500000,11500000
Igor Shesterkin,G,775000,11500000
David Pastrnak,RW,8500000,11250000
Rasmus Dahlin,D,12000000,11000000
Drew Doughty,D,11000000,11000000
Evan Bouchard,D,10500000,10500000
Carey Price,G,10500000,10500000
Jonathan Huberdeau,LW,3500000,10500000
Aleksander Barkov,C,10000000,10000000
Sergei Bobrovsky,G,10000000,10000000
Jack Eichel,C,10000000,10000000
Tyler Seguin,C,1100000,9850000
Sebastian Aho,C,10000000,9750000
Johnny Gaudreau,LW,7750000,9750000
Zachary Werenski,D,7500000,9583333
Noah Dobson,D,9500000,9500000
Adam Fox,D,9500000,9500000
Charlie McAvoy,D,8500000,9500000
Seth Jones,D,5500000,9500000
Nikita Kucherov,RW,5000000,9500000
Alexander Ovechkin,LW,5000000,9500000
Brayden Point,C,5000000,9500000
Andrei Vasilevskiy,G,5000000,9500000
Mark Stone,RW,3000000,9500000
Matthew Tkachuk,LW,1000000,9500000
Darnell Nurse,D,10000000,9250000
Mathew Barzal,C,9150000,9150000
Roman Josi,D,8000000,9059000
Jakob Chychrun,D,9000000,9000000
Luke Hughes,D,9000000,9000000
Cale Makar,D,8700000,9000000
Kirill Kaprizov,C,7500000,9000000
Jake Guentzel,LW,1000000,9000000
Dougie Hamilton,D,1000000,9000000
Timo Meier,RW,5000000,8800000
Alex Pietrangelo,D,4000000,8800000
Travis Konecny,RW,8750000,8750000
Dylan Larkin,C,10000000,8700000
Patrik Laine,RW,7100000,8700000
Sidney Crosby,C,780000,8700000
Sam Reinhart,C,8625000,8625000
Moritz Seider,D,8550000,8550000
Brock Faber,D,10000000,8500000
Filip Forsberg,LW,10000000,8500000
Connor Hellebuyck,G,10000000,8500000
Nikolaj Ehlers,LW,8500000,8500000
Bo Horvat,C,8500000,8500000
Ivan Provorov,D,8500000,8500000
Mark Scheifele,C,8500000,8500000
Pierre-Luc Dubois,C,8100000,8500000
Mikhail Sergachev,D,6050000,8500000
Mika Zibanejad,C,1000000,8500000
Miro Heiskanen,D,11000000,8450000
Roope Hintz,LW,7000000,8450000
