player,pos,team,salary,caphit
Denis Savard,C,MTL,1084625,
Patrick Roy,G,MTL,1041240,
Stéphane Richer,RW,MTL,650775,
Ryan Walter,C,MTL,295018,
Brian Skrudland,C,MTL,286341,
Russ Courtnall,RW,MTL,277664,
Mike McPhee,RW,MTL,275061,
Shayne Corson,LW,MTL,234279,
Gerald Diduck,D,MTL,216925,
Sylvain Turgeon,LW,MTL,216925,
Mike Keane,RW,MTL,156189,
Jean-Jacques Daigneault,D,MTL,156186,
Todd Ewen,RW,MTL,156186,
Brent Gilchrist,C,MTL,156186,
Stéphan Lebeau,C,MTL,151848,
Sylvain Lefebvre,D,MTL,151848,
Donald Dufresne,D,MTL,130155,
Mark Pederson,LW,MTL,130155,
Tom Chorske,LW,MTL,125817,
Eric Desjardins,D,MTL,121478,
Lyle Odelein,D,MTL,121478,
Benoit Brunet,LW,MTL,117140,
Mathieu Schneider,D,MTL,104124,
André Racicot,G,MTL,86770,
Raymond Bourque,D,BOS,1194000,
Cam Neely,LW,BOS,750000,
Bobby Carpenter,C,BOS,370000,
Craig Janney,C,BOS,325000,
Dave Poulin,C,BOS,310000,
Andy Moog,G,BOS,290000,
Chris Nilan,RW,BOS,275000,
Dave Christian,RW,BOS,248000,
Randy Burridge,LW,BOS,220000,
Vladimir Ruzicka,C,BOS,215000,
Allen Pedersen,D,BOS,200000,
Bob Sweeney,C,BOS,200000,
Garry Galley,D,BOS,190000,
Andy Brickley,LW,BOS,185000,
Lyndon Byers,LW,BOS,175000,
Nevin Markwart,C,BOS,161000,
Glen Wesley,D,BOS,155000,
Don Sweeney,D,BOS,150000,
Peter Douris,RW,BOS,140000,
John Carter,LW,BOS,135000,
Jim Wiemer,D,BOS,130000,
Stéphane Quintal,D,BOS,125000,
Wes Walz,C,BOS,125000,
John Byce,RW,BOS,120000,
Petri Skriko,C,BOS,116000,
Jarmo Kekalainen,LW,BOS,115000,
Jeff Lazaro,RW,BOS,115000,
Ron Hoover,LW,BOS,90000,
Al Iafrate,D,TOR,350000,
Gary Leeman,LW,TOR,347080,
Dave Ellett,D,TOR,295018,
Rob Ramage,D,TOR,282003,
Ed Olczyk,C,TOR,251633,
Mike Krushelnyski,C,TOR,238618,
Tom Kurvers,D,TOR,238618,
Mark Osborne,LW,TOR,238618,
Michel Petit,D,TOR,238618,
Wendel Clark,LW,TOR,229941,
Paul Fenton,C,TOR,228205,
Bob Rouse,D,TOR,216925,
Mike Foligno,C,TOR,201306,
Lou Franceschetti,RW,TOR,200000,
Brian Bradley,C,TOR,199571,
Allan Bester,G,TOR,195233,
Brad Marsh,D,TOR,195233,
Vincent Damphousse,C,TOR,186556,
Brian Curran,D,TOR,180000,
Aaron Broten,C,TOR,173540,
Todd Gill,D,TOR,164863,
Claude Loiselle,C,TOR,160525,
Kevin Maguire,C,TOR,158789,
Lucien DeBlois,RW,TOR,156186,
Luke Richardson,D,TOR,151848,
Dave Hannan,LW,TOR,147509,
Peter Zezel,C,TOR,147509,
Dave Reid,LW,TOR,143171,
Jeff Reese,G,TOR,125817,
Peter Ing,G,TOR,121478,
Scott Thornton,C,TOR,121478,
Daniel Marois,RW,TOR,104124,
Scott Pearson,LW,TOR,104124,
Joe Sacco,RW,TOR,104124,
John McIntyre,C,TOR,100000,
Dale Hawerchuk,C,BUF,525000,
Pierre Turgeon,C,BUF,500000,
Tony Tanti,RW,BUF,350000,
Dave Andreychuk,LW,BUF,348000,
Rick Vaive,RW,BUF,325000,
Uwe Krupp,D,BUF,310000,
Mikko Makela,LW,BUF,300000,
Christian Ruuttu,C,BUF,275000,
Jay Wells,D,BUF,250000,
Mike Hartman,LW,BUF,245000,
Clint Malarchuk,G,BUF,238000,
John Tucker,C,BUF,220000,
Mike Foligno,C,BUF,201306,
Lou Franceschetti,RW,BUF,200000,
Grant Ledyard,D,BUF,185000,
Brian Curran,D,BUF,180000,
Greg Paslawski,RW,BUF,164863,
Mike Ramsey,D,BUF,160000,
Benoit Hogue,LW,BUF,150000,
Rob Ray,RW,BUF,150000,
Alexander Mogilny,RW,BUF,140000,
Dave Snuggerud,LW,BUF,140000,
Peter Stastny,C,NJD,560000,
Claude Lemieux,RW,NJD,315000,
John MacLean,RW,NJD,285000,
Viacheslav Fetisov,D,NJD,275000,
Walt Poddubny,RW,NJD,270000,
Patrik Sundstrom,C,NJD,270000,
Laurie Boschman,LW,NJD,225000,
Bruce Driver,D,NJD,225000,
Sean Burke,G,NJD,210000,
Alexei Kasatonov,D,NJD,200000,
Ken Daneyko,D,NJD,190000,
Leonard Norwood,D,NJD,190000,
Chris Terreri,G,NJD,155000,
Paul Ysebaert,LW,NJD,155000,
Tommy Albelin,D,NJD,150000,
David Maley,LW,NJD,145000,
Pat Conacher,LW,NJD,140000,
Doug Brown,RW,NJD,135000,
Zdeno Ciger,LW,NJD,130000,
Jeff Madill,RW,NJD,130000,
Brendan Shanahan,LW,NJD,130000,
Alan Stewart,LW,NJD,120000,
Myles O'Connor,D,NJD,115000,
Jon Morris,C,NJD,110000,
Eric Weinrich,D,NJD,110000,
Troy Crowder,RW,NJD,105000,
Pat Lafontaine,C,NYI,400000,
Craig Ludwig,D,NYI,330000,
Brent Sutter,C,NYI,310000,
Pat Flatley,RW,NYI,265000,
Don Maloney,LW,NYI,240000,
Jeff Norton,D,NYI,235000,
Randy Wood,LW,NYI,225000,
John Tucker,C,NYI,220000,
Doug Crossman,D,NYI,210000,
Glenn Healy,G,NYI,210000,
Gary Nylund,D,NYI,210000,
Alan Kerr,RW,NYI,201000,
Ray Ferraro,C,NYI,200000,
Jari Gronstrand,D,NYI,185000,
Ken Baumgartner,RW,NYI,180000,
Brad Lauer,LW,NYI,175000,
Rich Pilon,D,NYI,175000,
Derek King,LW,NYI,170000,
Hubie McDonough,C,NYI,170000,
Joe Reekie,D,NYI,170000,
Mick Vukota,RW,NYI,170000,
Brad Dalgarno,RW,NYI,150000,
David Volek,RW,NYI,150000,
Bill Berg,C,NYI,145000,
Dean Chynoweth,D,NYI,130000,
Wayne McBean,D,NYI,130000,
Greg Parks,RW,NYI,130000,
Jeff Hackett,G,NYI,125000,
Dave Chyzowski,LW,NYI,120000,
Tom Fitzgerald,RW,NYI,115000,
Mike Gartner,RW,NYR,680000,
James Patrick,D,NYR,600000,
Bernie Nicholls,C,NYR,545000,
Miloslav Horava,D,NYR,500000,
John Ogrodnick,LW,NYR,461000,
John Vanbiesbrouck,G,NYR,375000,
Kelly Kisio,C,NYR,363000,
Normand Rochefort,D,NYR,315000,
Mark Hardy,D,NYR,255000,
Brian Mullen,C,NYR,250000,
Lindy Ruff,D,NYR,246000,
Brian Leetch,D,NYR,230000,
Randy Moller,D,NYR,230000,
David Shaw,D,NYR,230000,
Joe Cirella,D,NYR,225602,
Jan Erixon,LW,NYR,225000,
Ray Sheppard,RW,NYR,210000,
Joey Kocur,D,NYR,200000,
Darren Turcotte,C,NYR,200000,
Kris King,LW,NYR,150000,
Paul Broten,RW,NYR,140000,
Kevin Miller,RW,NYR,140000,
Mike Richter,G,NYR,140000,
Jody Hull,RW,NYR,135000,
Troy Mallette,LW,NYR,125000,
Rick Tocchet,RW,PHI,750000,
Ron Hextall,G,PHI,660000,
Mark Howe,D,PHI,563000,
Tim Kerr,RW,PHI,428000,
Ken Wregget,G,PHI,300000,
Pete Peeters,G,PHI,275000,
Ron Sutter,C,PHI,250000,
Keith Acton,C,PHI,237000,
Pelle Eklund,C,PHI,230000,
Kjell Samuelsson,D,PHI,230000,
Murray Craven,C,PHI,200000,
Scott Mellanby,RW,PHI,180000,
Terry Carkner,D,PHI,175000,
Jeff Chychrun,D,PHI,175000,
Gord Murphy,D,PHI,165000,
Normand Lacombe,RW,PHI,161000,
Mike Ricci,C,PHI,160000,
Scott Sandelin,D,PHI,135000,
