player,pos,salary,caphit
Connor McDavid,C,14000000,12500000
Artemi Panarin,LW,1000000,11642857
Auston Matthews,C,700000,11634000
Erik Karlsson,D,3500000,11500000
Drew Doughty,D,2000000,11000000
John Tavares,C,910000,11000000
Mitch Marner,RW,700000,10893000
Carey Price,G,10500000,10500000
Patrick Kane,RW,3800000,10500000
Jonathan Toews,C,3800000,10500000
Anze Kopitar,C,11000000,10000000
Sergei Bobrovsky,G,10000000,10000000
Jack Eichel,C,10000000,10000000
Tyler Seguin,C,5000000,9850000
Alexander Ovechkin,LW,10000000,9538462
Jamie Benn,LW,9500000,9500000
Evgeni Malkin,C,9500000,9500000
Mark Stone,RW,3000000,9500000
Nikita Kucherov,RW,1000000,9500000
Mikko Rantanen,RW,12000000,9250000
Jeff Skinner,LW,10000000,9000000
P.K. Subban,D,10000000,9000000
Sidney Crosby,C,9000000,8700000
Leon Draisaitl,C,8500000,8500000
Henrik Lundqvist,G,6000000,8500000
Steven Stamkos,C,1000000,8500000
Sebastian Aho,C,700000,8454000
Claude Giroux,C,5000000,8275000
Ryan Getzlaf,C,8275000,8250000
Jakub Voracek,RW,8250000,8250000
Oliver Ekman-Larsson,D,8000000,8250000
Blake Wheeler,RW,6000000,8250000
Ryan Johansen,C,8000000,8000000
Phil Kessel,RW,7000000,8000000
Logan Couture,C,6000000,8000000
John Carlson,D,5500000,8000000
Brent Burns,D,5000000,8000000
Jacob Trouba,D,4000000,8000000
Matt Duchene,C,2000000,8000000
Victor Hedman,D,8000000,7875000
Shea Weber,D,6000000,7857143
Evgeny Kuznetsov,C,7800000,7800000
Dustin Byfuglien,D,8000000,7600000
Zach Parise,LW,9000000,7538462
Ryan Suter,D,9000000,7538462
Vladimir Tarasenko,RW,9500000,7500000
Aaron Ekblad,D,7500000,7500000
Ryan O'Reilly,C,1000000,7500000
Kristopher Letang,D,7250000,7250000
David Krejci,C,7000000,7250000
Bobby Ryan,RW,5500000,7250000
Kyle Connor,LW,7500000,7142857
Kevin Hayes,RW,7142587,7142587
Max Pacioretty,LW,10500000,7000000
Anders Lee,LW,9000000,7000000
Marc-Andre Fleury,G,8500000,7000000
Marc-Edouard Vlasic,D,7250000,7000000
Joe Pavelski,C,7000000,7000000
James Van Riemsdyk,LW,7000000,7000000
Tuukka Rask,G,6500000,7000000
Evander Kane,LW,6000000,7000000
Matthew Tkachuk,LW,1000000,7000000
William Nylander,RW,700000,6962366
Ryan Kesler,C,6875000,6875000
Brent Seabrook,D,4000000,6875000
Patrice Bergeron,C,875000,6875000
Ryan McDonagh,D,8400000,6750000
Johnny Gaudreau,LW,6750000,6750000
Mark Giordano,D,6750000,6750000
Patrik Laine,RW,6750000,6750000
Ivan Provorov,D,6750000,6750000
Brayden Point,C,1000000,6750000
Nicklas Backstrom,C,8000000,6700000
David Pastrnak,RW,6800000,6666666
Cam Fowler,D,7500000,6500000
Alex Pietrangelo,D,7500000,6500000
Paul Stastny,C,6500000,6500000
Derek Stepan,C,6500000,6500000
John Gibson,G,6400000,6400000
Sean Monahan,C,6750000,6375000
Keith Yandle,D,6350000,6350000
Nathan MacKinnon,C,6750000,6300000
Ryan Ellis,D,7000000,6250000
Alexander Radulov,RW,3600000,6250000
Connor Hellebuyck,G,6166667,6166667
Brad Marchand,LW,7500000,6125000
Mark Scheifele,C,6125000,6125000
Dylan Larkin,C,7000000,6100000
Braden Holtby,G,5000000,6100000
Henrik Zetterberg,LW,1000000,6083333
Matt Dumba,D,7400000,6000000
Jake Guentzel,LW,7000000,6000000
Nikolaj Ehlers,LW,6500000,6000000
Johnny Boychuk,D,6000000,6000000
Alexander Edler,D,6000000,6000000
Filip Forsberg,LW,6000000,6000000
Taylor Hall,LW,6000000,6000000
Erik Johnson,D,6000000,6000000
Brock Nelson,C,6000000,6000000
Ryan Nugent-Hopkins,C,6000000,6000000
Kyle Okposo,RW,6000000,6000000
Cory Schneider,G,6000000,6000000
Jordan Staal,C,6000000,6000000
Kyle Turris,C,6000000,6000000
Brandon Saad,LW,5750000,6000000
Corey Crawford,G,5000000,6000000
Milan Lucic,LW,3000000,6000000
Mats Zuccarello,RW,3000000,6000000
David Backes,RW,1000000,6000000
Loui Eriksson,LW,1000000,6000000
Tyler Myers,D,1000000,6000000
Timo Meier,RW,700000,6000000
Nate Schmidt,D,6800000,5950000
Aleksander Barkov,C,6900000,5900000
Jonathan Huberdeau,LW,6200000,5900000
William Karlsson,C,5900000,5900000
Cam Atkinson,RW,7375000,5875000
Dustin Brown,RW,5500000,5875000
Brock Boeser,RW,700000,5875000
Brandon Dubinsky,C,5850000,5850000
Nick Schmaltz,C,2500000,5850000
Adam Henrique,C,5825000,5825000
Jonathan Quick,G,7000000,5800000
Esa Lindell,D,6000000,5800000
Ryan Callahan,RW,4700000,5800000
Mikael Granlund,C,6500000,5750000
T.J. Oshie,RW,6500000,5750000
Dougie Hamilton,D,6000000,5750000
Martin Jones,G,6000000,5750000
James Neal,LW,5750000,5750000
Matt Niskanen,D,5750000,5750000
Travis Zajac,C,5750000,5750000
Alexander Steen,LW,5500000,5750000
Marc Staal,D,4000000,5700000
Tomas Hertl,C,4250000,5625000
Gabriel Landeskog,LW,6000000,5571428
Duncan Keith,D,3500000,5538462
Jason Zucker,LW,6250000,5500000
Nick Leddy,D,6000000,5500000
Justin Schultz,D,6000000,5500000
Bo Horvat,C,5775000,5500000
Colton Parayko,D,5525000,5500000
Tyson Barrie,D,5500000,5500000
Jonathan Drouin,LW,5500000,5500000
Nick Foligno,LW,5500000,5500000
Gustav Nyquist,C,5500000,5500000
Anton Stralman,D,5500000,5500000
Jordan Eberle,RW,5250000,5500000
Mikko Koivu,C,5000000,5500000
Jeff Petry,D,3000000,5500000
Travis Konecny,RW,1000000,5500000
Andrew Ladd,LW,1000000,5500000
Alex Goligoski,D,5800000,5475000
Seth Jones,D,5400000,5400000
Rasmus Ristolainen,D,5400000,5400000
Teuvo Teravainen,LW,5400000,5400000
Mike Green,D,5250000,5375000
Jaden Schwartz,LW,5350000,5350000
Mika Zibanejad,C,5350000,5350000
Mikael Backlund,C,3850000,5350000
Roberto Luongo,G,1618000,5333333
Tomas Tatar,LW,5500000,5300000
Patric Hornqvist,RW,5300000,5300000
Ondrej Palat,LW,5300000,5300000
Jaccob Slavin,D,5300000,5300000
Nathan Horton,RW,3600000,5300000
Bryan Little,C,6500000,5291666
Marian Hossa,RW,1000000,5275000
Jeff Carter,C,3000000,5272727
J.T. Miller,C,6000000,5250000
Nino Niederreiter,RW,5850000,5250000
Frans Nielsen,C,5250000,5250000
Jakob Silfverberg,RW,5250000,5250000
Torey Krug,D,5000000,5250000
Brady Skjei,D,4400000,5250000
David Clarkson,RW,1000000,5250000
Hampus Lindholm,D,5250000,5205556
Shea Theodore,D,5200000,5200000
Mike Hoffman,LW,5650000,5187500
Jared Spurgeon,D,5187500,5187500
Yanni Gourde,C,6300000,5166666
Tom Wilson,RW,1500000,5166666
Brayden Schenn,C,4500000,5125000
Dmitry Orlov,D,6500000,5100000
Josh Bailey,RW,6000000,5000000
Niklas Hjalmarsson,D,6000000,5000000
Jonathan Marchessault,C,6000000,5000000
Pekka Rinne,G,6000000,5000000
Semyon Varlamov,G,6000000,5000000
Tyler Johnson,C,5500000,5000000
Tyler Bozak,C,5250000,5000000
Frederik Andersen,G,5000000,5000000
Danny DeKeyser,D,5000000,5000000
Andy Greene,D,5000000,5000000
Robin Lehner,G,5000000,5000000
Morgan Rielly,D,5000000,5000000
Wayne Simmonds,RW,5000000,5000000
Reilly Smith,RW,5000000,5000000
Zachary Werenski,D,4000000,5000000
Noah Hanifin,D,4950000,4950000
Ben Bishop,G,2500000,4916667
Alexander Wennberg,C,5350000,4900000
Alex Galchenyuk,C,4900000,4900000
Charlie McAvoy,D,1200000,4900000
Sami Vatanen,D,4500000,4875000
Michael Matheson,D,3500000,4875000
Marian Gaborik,RW,3175000,4875000
Elias Lindholm,C,5850000,4850000
Justin Faulk,D,6000000,4833333
Vincent Trocheck,C,4750000,4750000
Alex Tuch,C,4750000,4750000
Craig Anderson,G,4000000,4750000
Martin Hanzal,C,4000000,4750000
Carl Soderberg,C,4000000,4750000
Colin White,C,4000000,4750000
T.J. Brodie,D,4838000,4650400
Kyle Palmieri,RW,5000000,4650000
Clarke MacArthur,LW,4750000,4650000
Karl Alzner,D,4625000,4625000
Chris Kreider,LW,4000000,4625000
Tyler Toffoli,RW,4800000,4600000
Ryan Murray,D,4500000,4600000
Jakob Chychrun,D,2200000,4600000
Calvin de Haan,D,4700000,4550000
Artem Anisimov,C,2000000,4550000
Mikko Koskinen,G,5200000,4500000
Cody Ceci,D,4500000,4500000
Jason Demers,D,4500000,4500000
Marcus Johansson,LW,4500000,4500000
Shayne Gostisbehere,D,3250000,4500000
Nazem Kadri,C,2500000,4500000
Nikita Zaitsev,D,1500000,4500000
Nikita Gusev,LW,700000,4500000
Alexander Killorn,LW,4450000,4450000
Chris Tanev,D,4250000,4450000
Christian Dvorak,C,2950000,4450000
Jordan Binnington,G,4550000,4400000
Brandon Sutter,C,4375000,4375000
Jake Allen,G,5200000,4350000
Brendan Smith,D,4350000,4350000
Sean Couturier,C,4500000,4333333
Dmitry Kulikov,D,4333333,4333333
Devan Dubnyk,G,3500000,4333333
Michael Frolik,RW,3000000,4300000
John Klingberg,D,5000000,4250000
Antti Raanta,G,5000000,4250000
David Savard,D,5000000,4250000
Ian Cole,D,4750000,4250000
Craig Smith,RW,4750000,4250000
Justin Abdelkader,LW,4250000,4250000
Viktor Arvidsson,RW,4250000,4250000
Jonathan Ericsson,D,4250000,4250000
Oscar Klefbom,D,4167000,4167000
Jonas Brodin,D,4750000,4166667
Adam Larsson,D,5050000,4166666
Damon Severson,D,4675000,4166666
Mathieu Perreault,LW,4125000,4125000
Nick Bjugstad,C,5000000,4100000
Josh Manson,D,4250000,4100000
Nick Bonino,C,4100000,4100000
Brian Dumoulin,D,4100000,4100000
Olli Maatta,D,4083300,4083333
Jake Gardiner,D,4050000,4050000
Brett Pesce,D,4025000,4025000
David Perron,LW,4750000,4000000
Marco Scandella,D,4750000,4000000
Erik Gudbranson,D,4500000,4000000
Jake Muzzin,D,4450000,4000000
Alec Martinez,D,4150000,4000000
Mikkel Boedker,LW,4000000,4000000
Jimmy Howard,G,4000000,4000000
Roman Josi,D,4000000,4000000
Vladislav Namestnikov,C,4000000,4000000
Victor Rask,C,4000000,4000000
Kris Russell,D,4000000,4000000
Evgeny Dadonov,RW,2600000,4000000
Johan Franzen,RW,1000000,3954545
Joonas Donskoi,RW,3900000,3900000
Andrew Shaw,RW,2250000,3900000
Colin Miller,D,3875000,3875000
Travis Hamonic,D,4875000,3857143
Connor Murphy,D,4400000,3850000
Cody Eakin,C,3850000,3850000
Darren Helm,LW,3850000,3850000
Justin Braun,D,3800000,3800000
Matt Beleskey,LW,3000000,3800000
