player,pos,salary,caphit
Connor McDavid,C,15000000,12500000
John Tavares,C,650000,11000000
Carey Price,G,10500000,10500000
Patrick Kane,RW,6000000,10500000
Jonathan Toews,C,6000000,10500000
William Nylander,RW,10000000,10277778
Anze Kopitar,C,12000000,10000000
Jack Eichel,C,10000000,10000000
Alexander Ovechkin,LW,10000000,9538462
Jamie Benn,LW,9500000,9500000
Evgeni Malkin,C,9500000,9500000
P.K. Subban,D,10000000,9000000
Sidney Crosby,C,10000000,8700000
Corey Perry,RW,6500000,8625000
Leon Draisaitl,C,8500000,8500000
Henrik Lundqvist,G,6500000,8500000
Steven Stamkos,C,1000000,8500000
Claude Giroux,C,9000000,8275000
Ryan Getzlaf,C,8950000,8250000
Jakub Voracek,RW,8250000,8250000
Ryan Johansen,C,8000000,8000000
Phil Kessel,RW,7000000,8000000
John Carlson,D,5500000,8000000
Brent Burns,D,4000000,8000000
Victor Hedman,D,8000000,7875000
Shea Weber,D,6000000,7857143
Evgeny Kuznetsov,C,7800000,7800000
Dustin Byfuglien,D,8000000,7600000
Zach Parise,LW,9000000,7538462
Ryan Suter,D,9000000,7538462
Aaron Ekblad,D,7500000,7500000
Jason Spezza,C,7500000,7500000
Vladimir Tarasenko,RW,7000000,7500000
Ryan O'Reilly,C,1000000,7500000
Sergei Bobrovsky,G,6200000,7425000
Mark Stone,RW,7350000,7350000
David Krejci,C,7500000,7250000
Kristopher Letang,D,7250000,7250000
Bobby Ryan,RW,5500000,7250000
Drew Doughty,D,7650000,7000000
Marc-Edouard Vlasic,D,7250000,7000000
Tuukka Rask,G,7000000,7000000
Pekka Rinne,G,7000000,7000000
James Van Riemsdyk,LW,7000000,7000000
Evander Kane,LW,6000000,7000000
Dion Phaneuf,D,5500000,7000000
Ryan Kesler,C,6875000,6875000
Brent Seabrook,D,4500000,6875000
Patrice Bergeron,C,875000,6875000
Johnny Gaudreau,LW,6750000,6750000
Mark Giordano,D,6750000,6750000
Nicklas Backstrom,C,7500000,6700000
David Pastrnak,RW,8000000,6666666
Kevin Shattenkirk,D,7000000,6650000
Cam Fowler,D,7500000,6500000
Erik Karlsson,D,7500000,6500000
Paul Stastny,C,7500000,6500000
Alex Pietrangelo,D,7000000,6500000
Derek Stepan,C,6500000,6500000
Sean Monahan,C,6750000,6375000
Keith Yandle,D,6350000,6350000
Nathan MacKinnon,C,6750000,6300000
Patrick Marleau,C,6000000,6250000
Alexander Radulov,RW,5000000,6250000
Ilya Kovalchuk,LW,650000,6250000
Connor Hellebuyck,G,6166666,6166666
Brad Marchand,LW,8000000,6125000
Mark Scheifele,C,6125000,6125000
Dylan Larkin,C,5750000,6100000
Braden Holtby,G,5000000,6100000
Henrik Zetterberg,LW,3350000,6083333
Johnny Boychuk,D,6500000,6000000
Matt Duchene,C,6500000,6000000
Nikolaj Ehlers,LW,6250000,6000000
Logan Couture,C,6000000,6000000
Corey Crawford,G,6000000,6000000
Jordan Eberle,RW,6000000,6000000
Filip Forsberg,LW,6000000,6000000
Taylor Hall,LW,6000000,6000000
Erik Johnson,D,6000000,6000000
Ryan Nugent-Hopkins,C,6000000,6000000
Kyle Okposo,RW,6000000,6000000
Artemi Panarin,LW,6000000,6000000
Joe Pavelski,C,6000000,6000000
Cory Schneider,G,6000000,6000000
Jordan Staal,C,6000000,6000000
Kyle Turris,C,6000000,6000000
Brandon Saad,LW,5750000,6000000
Matt Dumba,D,5200000,6000000
Milan Lucic,LW,3500000,6000000
David Backes,RW,3000000,6000000
Loui Eriksson,LW,1000000,6000000
Aleksander Barkov,C,6250000,5900000
Jonathan Huberdeau,LW,6200000,5900000
Semyon Varlamov,G,5500000,5900000
Cam Atkinson,RW,7375000,5875000
Dustin Brown,RW,5500000,5875000
Brandon Dubinsky,C,5850000,5850000
Jonathan Quick,G,7000000,5800000
Ryan Callahan,RW,4700000,5800000
T.J. Oshie,RW,7500000,5750000
Alexander Steen,LW,7000000,5750000
Tyler Seguin,C,6500000,5750000
Travis Zajac,C,6500000,5750000
Martin Jones,G,6000000,5750000
Marc-Andre Fleury,G,5750000,5750000
Dougie Hamilton,D,5750000,5750000
James Neal,LW,5750000,5750000
Matt Niskanen,D,5750000,5750000
Mikael Granlund,C,5500000,5750000
Jeff Skinner,LW,6000000,5725000
Marc Staal,D,5000000,5700000
Mike Smith,G,5000000,5666667
Tomas Hertl,C,4000000,5625000
Blake Wheeler,RW,5800000,5600000
Jason Pominville,RW,5000000,5600000
Gabriel Landeskog,LW,6000000,5571428
Duncan Keith,D,4500000,5538462
Oliver Ekman-Larsson,D,7000000,5500000
Bo Horvat,C,7000000,5500000
Colton Parayko,D,6500000,5500000
Mikko Koivu,C,6000000,5500000
Tyson Barrie,D,5500000,5500000
Dave Bolland,C,5500000,5500000
Jonathan Drouin,LW,5500000,5500000
Nick Foligno,LW,5500000,5500000
Nick Leddy,D,5500000,5500000
Andrej Sekera,D,5500000,5500000
Jacob Trouba,D,5500000,5500000
Justin Schultz,D,5000000,5500000
Jason Zucker,LW,5000000,5500000
Jeff Petry,D,4000000,5500000
Tyler Myers,D,3000000,5500000
Andrew Ladd,LW,1000000,5500000
Alex Goligoski,D,6100000,5475000
Jay Bouwmeester,D,5400000,5400000
Seth Jones,D,5400000,5400000
Rasmus Ristolainen,D,5400000,5400000
Mike Green,D,5500000,5375000
Mika Zibanejad,C,5500000,5350000
Jaden Schwartz,LW,5350000,5350000
Mikael Backlund,C,3850000,5350000
Roberto Luongo,G,3382000,5333333
Ondrej Palat,LW,6855000,5300000
Tomas Tatar,LW,5500000,5300000
Patric Hornqvist,RW,5300000,5300000
Jaccob Slavin,D,5300000,5300000
Nathan Horton,RW,4500000,5300000
Jimmy Howard,G,4250000,5291667
