player,pos,team,salary,caphit
Pierre Turgeon,C,MTL,3400000,
Patrick Roy,G,MTL,2948083,
Mark Recchi,RW,MTL,2150000,
Vincent Damphousse,C,MTL,1687050,
Saku Koivu,C,MTL,1650000,
Vladimir Malakhov,D,MTL,1350000,
Lyle Odelein,D,MTL,850000,
Stéphane Quintal,D,MTL,850000,
Yves Racine,D,MTL,750000,
Mike Keane,RW,MTL,586800,
Benoit Brunet,LW,MTL,500000,
Andrei Kovalenko,LW,MTL,500000,
Martin Rucinsky,LW,MTL,500000,
Jean-Jacques Daigneault,D,MTL,458438,
Robert Dirk,D,MTL,450000,
Marko Kiprusoff,D,MTL,450000,
Marc Bureau,C,MTL,425000,
Patrice Brisebois,D,MTL,403425,
Peter Popovic,D,MTL,375000,
Mark Lamb,C,MTL,297068,
Valeri Bure,RW,MTL,256725,
Jocelyn Thibault,G,MTL,256725,
Pat Jablonski,G,MTL,250000,
Brian Savage,LW,MTL,250000,
Oleg Petrov,RW,MTL,238388,
Turner Stevenson,RW,MTL,238388,
Yves Sarault,LW,MTL,220050,
Donald Brashear,LW,MTL,172373,
Scott Fraser,LW,MTL,161370,
Kevin Stevens,LW,BOS,2937600,
Raymond Bourque,D,BOS,2502400,
Cam Neely,LW,BOS,2500000,
Bill Ranford,G,BOS,2138153,
Adam Oates,C,BOS,1950000,
Rick Tocchet,RW,BOS,1927200,
Don Sweeney,D,BOS,800000,
Steve Leach,RW,BOS,700000,
Kyle McLaren,D,BOS,700000,
Shawn McEachern,LW,BOS,687500,
Rick Zombo,D,BOS,684500,
Todd Elik,C,BOS,675000,
Alexei Kasatonov,D,BOS,650000,
Ted Donato,LW,BOS,525000,
Joe Mullen,RW,BOS,500000,
Jozef Stumpel,C,BOS,450000,
Dave Reid,LW,BOS,425000,
Craig Billington,G,BOS,400000,
Dean Chynoweth,D,BOS,375000,
Mariusz Czerkawski,RW,BOS,375000,
Jon Rohloff,D,BOS,350000,
Steve Heinze,RW,BOS,325000,
Blain Lacher,G,BOS,325000,
John Gruden,D,BOS,250000,
Sandy Moger,RW,BOS,250000,
Alexandre Daigle,RW,OTT,2090475,
Steve Duchesne,D,OTT,2000000,
Don Beaupre,G,OTT,962500,
Radek Bonk,C,OTT,751838,
Martin Straka,C,OTT,750000,
Dan Quinn,C,OTT,550000,
Frank Musil,D,OTT,500000,
Tom Chorske,LW,OTT,496000,
Phil Bourque,D,OTT,475000,
Pat Elynuik,RW,OTT,459758,
Sean Hill,D,OTT,450000,
Kerry Huffman,D,OTT,425000,
Jaroslav Modry,D,OTT,325000,
Randy Cunneyworth,LW,OTT,311738,
Stanislav Neckar,D,OTT,293400,
Denis Vial,D,OTT,275063,
Ted Drury,C,OTT,275000,
Troy Mallette,LW,OTT,265894,
Daniel Alfredsson,RW,OTT,231053,
Lance Pitlick,D,OTT,183375,
Rob Gaudreau,RW,OTT,165038,
Mike Bales,G,OTT,146700,
Larry Murphy,D,TOR,2275000,
Doug Gilmour,C,TOR,2237175,
Mats Sundin,C,TOR,2149155,
Dave Andreychuk,LW,TOR,2100000,
Wendel Clark,LW,TOR,1800000,
Mike Gartner,RW,TOR,1500000,
Dave Gagner,C,TOR,1400000,
Mathieu Schneider,D,TOR,1400000,
Kirk Muller,LW,TOR,1393650,
Benoit Hogue,LW,TOR,1250000,
Félix Potvin,G,TOR,1026900,
Don Beaupre,G,TOR,962500,
Sergio Momesso,LW,TOR,900000,
Todd Gill,D,TOR,880200,
Dave Ellett,D,TOR,806850,
Wayne Presley,RW,TOR,700000,
Randy Wood,LW,TOR,700000,
Dmitri Yushkevich,D,TOR,700000,
Jamie Macoun,D,TOR,687500,
Kenny Jonsson,D,TOR,682889,
Ken Baumgartner,RW,TOR,650000,
Tie Domi,RW,TOR,600000,
Nick Kypreos,LW,TOR,577500,
Mike Craig,RW,TOR,550000,
Rob Zettler,D,TOR,455000,
Damian Rhodes,G,TOR,421763,
Todd Warriner,LW,TOR,293400,
Bill Berg,C,TOR,264060,
Darby Hendrickson,C,TOR,238388,
Matt Martin,D,TOR,238388,
Mike Hudson,C,TOR,220050,
Pat Lafontaine,C,BUF,4300000,
Dominik Hasek,G,BUF,2725300,
Brad May,LW,BUF,1188800,
Garry Galley,D,BUF,1125000,
Doug Bodger,D,BUF,1000000,
Donald Audette,RW,BUF,750000,
Craig Muni,D,BUF,712500,
Yuri Khmylev,LW,BUF,600000,
Andrei Trefilov,G,BUF,550000,
Grant Jennings,D,BUF,450000,
Rob Ray,RW,BUF,450000,
Alexei Zhitnik,D,BUF,450000,
Dave Hannan,LW,BUF,425000,
Doug Houda,D,BUF,410000,
Brent Hughes,LW,BUF,405000,
Brian Holzinger,C,BUF,400000,
Charlie Huddy,D,BUF,400000,
Darryl Shannon,D,BUF,400000,
Derek Plante,C,BUF,360000,
Randy Burridge,LW,BUF,350000,
Mark Astley,D,BUF,285000,
Rob Conn,RW,BUF,250000,
Michael Peca,C,BUF,225000,
Jason Dawe,RW,BUF,200000,
Scott Stevens,D,NJD,3200000,
Phil Housley,D,NJD,2200000,
Dave Andreychuk,LW,NJD,2100000,
John MacLean,RW,NJD,1655700,
Steve Thomas,LW,NJD,1563300,
Stéphane Richer,RW,NJD,1504100,
Martin Brodeur,G,NJD,1500000,
Scott Niedermayer,D,NJD,1400000,
Ken Daneyko,D,NJD,1047600,
Neal Broten,C,NJD,979200,
Esa Tikkanen,LW,NJD,906000,
Shawn Chambers,D,NJD,840500,
Chris Terreri,G,NJD,826000,
Bill Guerin,RW,NJD,743700,
Bobby Carpenter,C,NJD,742900,
Randy McKay,RW,NJD,700000,
Bobby Holik,C,NJD,690800,
Valeri Zelepukin,LW,NJD,690200,
Petr Sykora,C,NJD,625000,
Mike Peluso,D,NJD,590800,
Tommy Albelin,D,NJD,550000,
Jocelyn Lemieux,LW,NJD,500000,
Jim Dowd,C,NJD,350000,
Brian Rolston,LW,NJD,350000,
Kevin Dean,D,NJD,300000,
Sergei Brylin,C,NJD,282500,
Corey Schwab,G,NJD,250000,
Jason Smith,D,NJD,210000,
Scott Pellerin,LW,NJD,190000,
Wendel Clark,LW,NYI,1800000,
Mathieu Schneider,D,NYI,1400000,
Kirk Muller,LW,NYI,1393650,
Brett Lindros,RW,NYI,1150000,
Todd Bertuzzi,LW,NYI,1000000,
Pat Flatley,RW,NYI,900000,
Derek King,LW,NYI,825000,
Martin Straka,C,NYI,750000,
Darius Kasparaitis,D,NYI,700000,
Alexander Semak,C,NYI,700000,
Kenny Jonsson,D,NYI,682889,
Scott Lachance,D,NYI,650000,
Tommy Soderstrom,G,NYI,650000,
Dennis Vaske,D,NYI,550000,
Marty McInnis,LW,NYI,525000,
Bob Sweeney,C,NYI,520000,
Rich Pilon,D,NYI,500000,
Pat Conacher,LW,NYI,450000,
Brad Dalgarno,RW,NYI,425000,
Mick Vukota,RW,NYI,425000,
Bob Beers,D,NYI,400000,
Travis Green,C,NYI,400000,
Bryan McCabe,D,NYI,400000,
Dean Chynoweth,D,NYI,375000,
Brent Severyn,D,NYI,375000,
Jamie McLennan,G,NYI,350000,
Zigmund Palffy,RW,NYI,275000,
Chris Luongo,D,NYI,250000,
Darby Hendrickson,C,NYI,238388,
Mark Messier,C,NYR,6000000,
Mike Richter,G,NYR,3000000,
Brian Leetch,D,NYR,2612500,
Luc Robitaille,LW,NYR,2533300,
Adam Graves,LW,NYR,2300000,
Ulf Samuelsson,D,NYR,2120000,
Jari Kurri,RW,NYR,2000000,
Marty McSorley,D,NYR,1925000,
Pat Verbeek,RW,NYR,1750000,
Ray Ferraro,C,NYR,1600000,
Bruce Driver,D,NYR,1100000,
Kevin Lowe,D,NYR,1100000,
Glenn Healy,G,NYR,975000,
Sergio Momesso,LW,NYR,900000,
Niklas Sundstrom,RW,NYR,740000,
Jeff Beukeboom,D,NYR,725000,
Sergei Nemchinov,C,NYR,700000,
Wayne Presley,RW,NYR,700000,
Shane Churla,RW,NYR,596000,
Nick Kypreos,LW,NYR,577500,
Stéphane Matteau,LW,NYR,575000,
Alexei Kovalev,RW,NYR,525000,
Peter Ferraro,RW,NYR,500000,
Doug Lidster,D,NYR,500000,
Darren Langdon,LW,NYR,350000,
Alexander Karpovtsev,D,NYR,300000,
Joey Kocur,D,NYR,300000,
Bill Berg,C,NYR,264060,
Ian Laperrière,C,NYR,225000,
Mattias Norstrom,D,NYR,200000,
Eric Lindros,C,PHI,4182000,
Dale Hawerchuk,C,PHI,2600000,
John LeClair,LW,PHI,1526100,
Mikael Renberg,RW,PHI,1400000,
Pat Falloon,RW,PHI,1200000,
Joel Otto,C,PHI,1200000,
Rod Brind'Amour,C,PHI,1000000,
Eric Desjardins,D,PHI,1000000,
Kjell Samuelsson,D,PHI,968000,
Ron Hextall,G,PHI,940000,
Craig MacTavish,C,PHI,750000,
Kevin Dineen,RW,PHI,688400,
Dominic Roussel,G,PHI,600000,
Dan Quinn,C,PHI,550000,
John Druce,RW,PHI,525000,
Bob Corkum,C,PHI,500000,
Kevin Haller,D,PHI,500000,
Anatoli Semenov,C,PHI,460000,
Brent Fedyk,RW,PHI,450000,
Trent Klatt,RW,PHI,437500,
Kerry Huffman,D,PHI,425000,
Rob DiMaio,RW,PHI,375000,
Shjon Podein,LW,PHI,350000,
Garth Snow,G,PHI,325000,
Patrik Juhlin,LW,PHI,300000,
Darren Rumble,D,PHI,300000,
Chris Therien,D,PHI,300000,
Shawn Antoski,LW,PHI,250000,
Phil Crowe,RW,PHI,200000,
Mario Lemieux,C,PIT,4571400,
Jaromir Jagr,RW,PIT,3250000,
Tom Barrasso,G,PIT,2517000,
Ron Francis,C,PIT,1840000,
Sergei Zubov,D,PIT,1600000,
Petr Nedved,C,PIT,1400000,
Tomas Sandstrom,RW,PIT,1200000,
Kevin Miller,RW,PIT,750000,
Dmitri Mironov,D,PIT,600000,
Markus Naslund,LW,PIT,600000,
Neil Wilkinson,D,PIT,577500,
Norm Maciver,D,PIT,495113,
Jean-Jacques Daigneault,D,PIT,458438,
Ken Wregget,G,PIT,425000,
Chris Joseph,D,PIT,415000,
Glen Murray,RW,PIT,400000,
Chris Wells,C,PIT,400000,
François Leroux,D,PIT,350000,
Richard Park,C,PIT,350000,
Drake Berehowsky,D,PIT,325000,
Rusty Fitzgerald,C,PIT,320000,
David Roche,LW,PIT,310000,
Ed Patterson,RW,PIT,300000,
Len Barrie,C,PIT,275000,
Joe Dziedzic,LW,PIT,255000,
Chris Tamer,D,PIT,220000,
Bryan Smolinski,C,PIT,200000,
Alek Stojanov,RW,PIT,165038,
Brendan Shanahan,LW,HFD,3475000,
Jeff Brown,D,HFD,2000000,
Sean Burke,G,HFD,2000000,
Gerald Diduck,D,HFD,1275000,
Glen Wesley,D,HFD,1250000,
Jimmy Carson,C,HFD,1100000,
Nelson Emerson,RW,HFD,918000,
Adam Burt,D,HFD,850000,
Geoff Sanderson,LW,HFD,812500,
Jeff O'Neill,C,HFD,800000,
Andrew Cassels,C,HFD,771000,
Robert Kron,C,HFD,700000,
