player,pos,team,salary,caphit
Trevor Linden,C,MTL,3500000,
Jeff Hackett,G,MTL,3300000,
Saku Koivu,C,MTL,3300000,
Martin Rucinsky,LW,MTL,2700000,
Patrice Brisebois,D,MTL,2200000,
Eric Weinrich,D,MTL,2000000,
Brian Savage,LW,MTL,1900000,
Benoit Brunet,LW,MTL,1100000,
Karl Dykhuis,D,MTL,1000000,
Craig Rivet,D,MTL,1000000,
José Théodore,G,MTL,1000000,
Dainius Zubrus,RW,MTL,1000000,
Chad Kilger,C,MTL,931700,
Mathieu Garon,G,MTL,750000,
Sheldon Souray,D,MTL,750000,
Andrei Markov,D,MTL,700000,
Richard Zednik,LW,MTL,685000,
Jan Bulis,C,MTL,650000,
Christian Laflamme,D,MTL,625000,
Patrick Poulin,LW,MTL,600000,
Oleg Petrov,RW,MTL,575000,
Patrick Traverse,D,MTL,550000,
Jim Campbell,RW,MTL,525000,
Sergei Zholtok,C,MTL,505000,
Jason Ward,RW,MTL,462500,
Craig Darby,C,MTL,450000,
Juha Lind,LW,MTL,400000,
Arron Asham,RW,MTL,350000,
P.J. Stock,LW,MTL,350000,
Stéphane Robidas,D,MTL,325000,
Jason Allison,C,BOS,3500000,
Bill Guerin,RW,BOS,3212500,
Byron Dafoe,G,BOS,3150000,
Paul Coffey,D,BOS,2250000,
Eric Weinrich,D,BOS,2000000,
Don Sweeney,D,BOS,1800000,
Kyle McLaren,D,BOS,1755000,
Peter Popovic,D,BOS,1600000,
Sergei Samsonov,LW,BOS,1550000,
Joe Thornton,C,BOS,1550000,
Brian Rolston,LW,BOS,1473000,
Dixon Ward,RW,BOS,1200000,
Andrei Nazarov,LW,BOS,925000,
Andrei Kovalenko,LW,BOS,900000,
Darren Van Impe,D,BOS,825000,
Hal Gill,D,BOS,800000,
Mike Knuble,RW,BOS,775000,
P.J. Axelsson,LW,BOS,750000,
Ken Belanger,LW,BOS,575000,
Mikko Eloranta,LW,BOS,551076,
Patrick Traverse,D,BOS,550000,
Peter Skudra,G,BOS,525000,
John Grahame,G,BOS,500000,
Shawn Bates,C,BOS,484000,
Jarno Kultanen,D,BOS,425000,
Jonathan Girard,D,BOS,400000,
Samuel Pahlsson,C,BOS,375000,
Alexei Yashin,C,OTT,3600000,
Daniel Alfredsson,RW,OTT,2800000,
Shawn McEachern,LW,OTT,2800000,
Igor Kravchuk,D,OTT,2500000,
Rob Zamuner,LW,OTT,2200000,
Wade Redden,D,OTT,1950000,
Curtis Leschyshyn,D,OTT,1900000,
Jason York,D,OTT,1650000,
Radek Bonk,C,OTT,1500000,
Magnus Arvedson,LW,OTT,1210000,
Mike Sillinger,C,OTT,1000000,
Chris Phillips,D,OTT,962500,
Andreas Dackell,RW,OTT,900000,
Martin Havlat,RW,OTT,825000,
Eric Lacroix,LW,OTT,825000,
Vaclav Prospal,LW,OTT,750000,
Sami Salo,D,OTT,700000,
Mike Fisher,C,OTT,685000,
Marian Hossa,RW,OTT,675000,
Petr Schastlivy,LW,OTT,650000,
Jani Hurme,G,OTT,550000,
Patrick Lalime,G,OTT,550000,
Colin Forbes,LW,OTT,500000,
André Roy,LW,OTT,425000,
Jamie Rivers,D,OTT,400000,
Shane Hnidy,D,OTT,385000,
Ricard Persson,D,OTT,350000,
Karel Rachunek,D,OTT,243750,
Mats Sundin,C,TOR,7500000,
Curtis Joseph,G,TOR,6150000,
Dmitri Khristich,RW,TOR,3250000,
Gary Roberts,LW,TOR,2750000,
Steve Thomas,LW,TOR,2500000,
Shayne Corson,LW,TOR,2250000,
Bryan McCabe,D,TOR,2150000,
Dmitri Yushkevich,D,TOR,2050000,
Sergei Berezin,LW,TOR,2000000,
Tie Domi,RW,TOR,1684937,
Glenn Healy,G,TOR,1300000,
Yanic Perreault,C,TOR,1155000,
Igor Korolev,C,TOR,1000000,
Cory Cross,D,TOR,990000,
Jonas Hoglund,LW,TOR,950000,
Nikolai Antropov,C,TOR,925000,
Dave Manson,D,TOR,850000,
Aki-Petteri Berg,D,TOR,838750,
Darcy Tucker,C,TOR,825000,
Alyn McCauley,C,TOR,786500,
Garry Valk,LW,TOR,700000,
Wade Belak,D,TOR,638000,
Daniil Markov,D,TOR,625000,
Tomas Kaberle,D,TOR,385000,
Dominik Hasek,G,BUF,7500000,
Doug Gilmour,C,BUF,6000000,
Miroslav Satan,LW,BUF,2500000,
Alexei Zhitnik,D,BUF,2500000,
Donald Audette,RW,BUF,2000000,
Stu Barnes,C,BUF,1500000,
Chris Gratton,C,BUF,1500000,
Richard Smehlik,D,BUF,1400000,
Curtis Brown,LW,BUF,1333333,
Jay McKee,D,BUF,1333333,
Steve Heinze,RW,BUF,1320000,
Dave Andreychuk,LW,BUF,1100000,
Jason Woolley,D,BUF,1045000,
Rhett Warrener,D,BUF,950000,
Jean-Pierre Dumont,RW,BUF,875000,
Maxim Afinogenov,RW,BUF,750000,
Vaclav Varada,RW,BUF,700000,
Vladimir Tsyplakov,LW,BUF,632500,
James Patrick,D,BUF,600000,
Martin Biron,G,BUF,550000,
Peter Skudra,G,BUF,525000,
Rob Ray,RW,BUF,500000,
Erik Rasmussen,C,BUF,481250,
Eric Boulton,LW,BUF,357500,
Denis Hamel,LW,BUF,350000,
Alexander Mogilny,RW,NJD,5200000,
Martin Brodeur,G,NJD,4380687,
Scott Stevens,D,NJD,4152579,
Scott Niedermayer,D,NJD,3700000,
John Vanbiesbrouck,G,NJD,3500000,
Bobby Holik,C,NJD,2700000,
Jason Arnott,C,NJD,2500000,
Randy McKay,RW,NJD,2142852,
Ken Daneyko,D,NJD,1800000,
Sean O'Donnell,D,NJD,1100000,
Turner Stevenson,RW,NJD,950000,
Chris Terreri,G,NJD,875000,
Bob Corkum,C,NJD,800000,
Patrik Elias,LW,NJD,675000,
Petr Sykora,C,NJD,675000,
Scott Gomez,C,NJD,650000,
Willie Mitchell,D,NJD,650000,
Sergei Nemchinov,C,NJD,650000,
Colin White,D,NJD,625000,
Sergei Brylin,C,NJD,575000,
John Madden,C,NJD,550000,
Jay Pandolfo,LW,NJD,550000,
Jim McKenzie,LW,NJD,525000,
Steve Kelly,LW,NJD,450000,
Brian Rafalski,D,NJD,450000,
Sascha Goc,D,NJD,350000,
Ken Sutton,D,NJD,300000,
John Vanbiesbrouck,G,NYI,3500000,
Roman Hamrlik,D,NYI,2800000,
Kenny Jonsson,D,NYI,1850000,
Garry Galley,D,NYI,1804000,
Mariusz Czerkawski,RW,NYI,1500000,
Kevin Haller,D,NYI,1500000,
Claude Lapointe,C,NYI,1163260,
Rick DiPietro,G,NYI,1075000,
Tim Connolly,C,NYI,1025000,
Branislav Mezei,D,NYI,1025000,
Taylor Pyatt,LW,NYI,1025000,
Bill Muckalt,RW,NYI,950000,
Mark Parrish,RW,NYI,875000,
Chris Terreri,G,NYI,875000,
Mats Lindgren,C,NYI,850000,
Craig Berube,LW,NYI,700000,
Zdeno Chara,D,NYI,632500,
Dave Scatchard,C,NYI,625000,
Eric Cairns,D,NYI,550000,
Robert Petrovicky,C,NYI,500000,
Jason Blake,LW,NYI,450000,
Wade Flaherty,G,NYI,450000,
Oleg Kvasha,LW,NYI,450000,
Steve Martins,C,NYI,450000,
Mike Stapleton,C,NYI,450000,
Aris Brimanis,D,NYI,420000,
Jeff Toms,LW,NYI,420000,
Brad Isbister,LW,NYI,385000,
Steve Webb,RW,NYI,375000,
Brian Leetch,D,NYR,7680000,
Theoren Fleury,RW,NYR,6000000,
Mike Richter,G,NYR,5600000,
Mark Messier,C,NYR,4807037,
Adam Graves,LW,NYR,4000000,
Petr Nedved,C,NYR,4000000,
Guy Hebert,G,NYR,3600000,
Vladimir Malakhov,D,NYR,3500000,
Valeri Kamensky,LW,NYR,3000000,
Sylvain Lefebvre,D,NYR,2300000,
Rich Pilon,D,NYR,1900000,
Tim Taylor,C,NYR,1450000,
Radek Dvorak,RW,NYR,1200000,
Alexei Gusarov,D,NYR,1200000,
Michal Grosek,RW,NYR,1100000,
John MacLean,RW,NYR,975000,
Manny Malhotra,C,NYR,975000,
Kirk McLean,G,NYR,950000,
Sandy McCarthy,RW,NYR,880000,
Eric Lacroix,LW,NYR,825000,
Brad Brown,D,NYR,800000,
Jan Hlavac,LW,NYR,800000,
Tomas Kloucek,D,NYR,550000,
Mike York,C,NYR,525000,
Colin Forbes,LW,NYR,500000,
Kim Johnsson,D,NYR,475000,
Jeff Toms,LW,NYR,420000,
Dale Purinton,D,NYR,375000,
