player,pos,team,salary,caphit
Matt Martin,D,TOR,325000,
Steve Sullivan,C,TOR,325000,
Scott Pearson,LW,TOR,300000,
Shayne Toporowski,RW,TOR,296440,
John Craighead,RW,TOR,292735,
Marcel Cousineau,G,TOR,266796,
Brandon Convery,C,TOR,259385,
Todd Warriner,LW,TOR,259385,
Yannick Tremblay,D,TOR,240858,
Kelly Fairchild,C,TOR,237152,
Brian Wiseman,C,TOR,237152,
David Cooper,D,TOR,226036,
Darby Hendrickson,C,TOR,222330,
Zdenek Nedved,C,TOR,222330,
Jamie Heward,D,TOR,203803,
Mark Kolesar,C,TOR,185275,
Pat Lafontaine,C,BUF,4600000,
Dominik Hasek,G,BUF,4200000,
Brad May,LW,BUF,1200000,
Garry Galley,D,BUF,1125000,
Alexei Zhitnik,D,BUF,1000000,
Richard Smehlik,D,BUF,850000,
Donald Audette,RW,BUF,800000,
Randy Burridge,LW,BUF,703300,
Jay McKee,D,BUF,700000,
Derek Plante,C,BUF,700000,
Andrei Trefilov,G,BUF,650000,
Wayne Primeau,C,BUF,600000,
Curtis Brown,LW,BUF,550000,
Rob Ray,RW,BUF,500000,
Brian Holzinger,C,BUF,475000,
Mike Wilson,D,BUF,426133,
Darryl Shannon,D,BUF,425000,
Charlie Huddy,D,BUF,400000,
Anatoli Semenov,C,BUF,400000,
Steve Shields,G,BUF,400000,
Dixon Ward,RW,BUF,400000,
Vaclav Varada,RW,BUF,325000,
Rumun Ndur,D,BUF,305000,
Bob Boughner,D,BUF,300000,
Jason Dawe,RW,BUF,300000,
Miroslav Satan,LW,BUF,274207,
Barrie Moore,LW,BUF,250000,
Ed Ronan,RW,BUF,250000,
Michael Peca,C,BUF,166748,
Michal Grosek,RW,BUF,163042,
Scott Stevens,D,NJD,3750000,
Doug Gilmour,C,NJD,2260355,
Dave Andreychuk,LW,NJD,2100000,
Martin Brodeur,G,NJD,1800000,
John MacLean,RW,NJD,1656000,
Steve Thomas,LW,NJD,1613000,
Scott Niedermayer,D,NJD,1500000,
Lyle Odelein,D,NJD,1500000,
Ken Daneyko,D,NJD,1100000,
Neal Broten,C,NJD,950000,
Shawn Chambers,D,NJD,841000,
Dave Ellett,D,NJD,815210,
Peter Zezel,C,NJD,800000,
Randy McKay,RW,NJD,750000,
Bill Guerin,RW,NJD,744000,
Bobby Carpenter,C,NJD,743000,
Bobby Holik,C,NJD,741000,
Valeri Zelepukin,LW,NJD,741000,
Denis Pederson,C,NJD,625000,
Mike Peluso,D,NJD,591000,
Petr Sykora,C,NJD,525000,
Jay Pandolfo,LW,NJD,490000,
Vadim Sharifijanov,LW,NJD,475000,
Jason Smith,D,NJD,375000,
Kevin Dean,D,NJD,350000,
Steve Sullivan,C,NJD,325000,
Patrik Elias,LW,NJD,300000,
Krzysztof Oliwa,LW,NJD,300000,
Jeff Reese,G,NJD,300000,
Sergei Brylin,C,NJD,283000,
Mike Dunham,G,NJD,275000,
Brian Rolston,LW,NJD,275000,
Reid Simpson,LW,NJD,250000,
Ricard Persson,D,NJD,240000,
Pascal Rhéaume,C,NJD,200000,
Robert Reichel,C,NYI,2000000,
Todd Bertuzzi,LW,NYI,1100000,
Darius Kasparaitis,D,NYI,900000,
Derek King,LW,NYI,853000,
Bryan Berard,D,NYI,850000,
Kenny Jonsson,D,NYI,752217,
Tommy Soderstrom,G,NYI,725000,
Scott Lachance,D,NYI,660000,
Dennis Vaske,D,NYI,575000,
Marty McInnis,LW,NYI,550000,
Rich Pilon,D,NYI,525000,
Bryan McCabe,D,NYI,450000,
Mick Vukota,RW,NYI,450000,
Jason Holland,D,NYI,413000,
Doug Houda,D,NYI,410000,
Éric Fichaud,G,NYI,407605,
Paul Kruse,LW,NYI,370550,
Jim Dowd,C,NYI,350000,
Andreas Johansson,LW,NYI,350000,
Dave McLlwain,C,NYI,350000,
Claude Lapointe,C,NYI,325000,
Andrei Vasilyev,RW,NYI,318000,
Dan Plante,RW,NYI,315000,
Niklas Andersson,LW,NYI,300000,
Derek Armstrong,C,NYI,300000,
Ken Belanger,LW,NYI,300000,
Mike Donnelly,RW,NYI,300000,
Tommy Salo,G,NYI,300000,
Chris Taylor,C,NYI,300000,
Nicholas Vachon,LW,NYI,288000,
Corey Foster,D,NYI,275000,
Brent Hughes,LW,NYI,250000,
Jarrett Deuling,LW,NYI,225000,
Mark Messier,C,NYR,6000000,
Wayne Gretzky,C,NYR,3963000,
Mike Richter,G,NYR,3600000,
Brian Leetch,D,NYR,3088000,
Luc Robitaille,LW,NYR,2900000,
Adam Graves,LW,NYR,2700000,
Ulf Samuelsson,D,NYR,2250000,
Jeff Beukeboom,D,NYR,1800000,
Bruce Driver,D,NYR,1725000,
Russ Courtnall,RW,NYR,1485000,
Glenn Healy,G,NYR,950000,
Sergio Momesso,LW,NYR,950000,
Niklas Sundstrom,RW,NYR,940000,
Brian Noonan,RW,NYR,900000,
Esa Tikkanen,LW,NYR,815210,
Sergei Nemchinov,C,NYR,750000,
Doug Lidster,D,NYR,700000,
Jayson More,D,NYR,650000,
Shane Churla,RW,NYR,641000,
Alexander Karpovtsev,D,NYR,550000,
Alexei Kovalev,RW,NYR,550000,
Mike Eastwood,C,NYR,475000,
Vladimir Vorobyov,RW,NYR,425000,
Bill Berg,C,NYR,400000,
Chris Ferraro,C,NYR,400000,
Dallas Eakins,D,NYR,385000,
Daniel Goneau,LW,NYR,375000,
Darren Langdon,LW,NYR,325000,
David Oliver,RW,NYR,266796,
Ken Gernander,RW,NYR,250000,
Ryan VandenBussche,RW,NYR,250000,
Eric Cairns,D,NYR,235000,
Pat Flatley,RW,NYR,125000,
Sylvain Blouin,LW,NYR,50000,
Eric Lindros,C,PHI,4247000,
Paul Coffey,D,PHI,2600000,
Dale Hawerchuk,C,PHI,2600000,
Ron Hextall,G,PHI,2200000,
Mikael Renberg,RW,PHI,1800000,
Eric Desjardins,D,PHI,1600000,
Rod Brind'Amour,C,PHI,1500000,
Joel Otto,C,PHI,1400000,
John LeClair,LW,PHI,1314000,
Pat Falloon,RW,PHI,1150000,
Kjell Samuelsson,D,PHI,973000,
Kevin Haller,D,PHI,800000,
Frantisek Kucera,D,PHI,700000,
Janne Niinimaa,D,PHI,650000,
Scott Daniels,LW,PHI,575000,
John Druce,RW,PHI,550000,
Trent Klatt,RW,PHI,500000,
Karl Dykhuis,D,PHI,400000,
Shjon Podein,LW,PHI,365000,
Vaclav Prospal,LW,PHI,350000,
Garth Snow,G,PHI,345000,
Darren Rumble,D,PHI,325000,
Jason Bowen,LW,PHI,310000,
Aris Brimanis,D,PHI,300000,
Daniel Lacroix,LW,PHI,285000,
Dan Kordic,LW,PHI,250000,
Chris Therien,D,PHI,250000,
Paul Healey,RW,PHI,190000,
Craig Darby,C,PHI,185275,
Mario Lemieux,C,PIT,11321000,
Jaromir Jagr,RW,PIT,4200000,
Tom Barrasso,G,PIT,2717000,
Kevin Hatcher,D,PIT,2300000,
Ron Francis,C,PIT,1850000,
Tomas Sandstrom,RW,PIT,1400000,
Ed Olczyk,C,PIT,1050000,
Ken Wregget,G,PIT,1000000,
Darius Kasparaitis,D,PIT,900000,
Petr Klima,LW,PIT,835000,
Stu Barnes,C,PIT,800000,
Roman Oksiuta,RW,PIT,675000,
Fredrick Olausson,D,PIT,650000,
Neil Wilkinson,D,PIT,625000,
Dmitri Mironov,D,PIT,600000,
Jozef Beranek,C,PIT,500000,
Greg Johnson,C,PIT,500000,
Dan Quinn,C,PIT,500000,
Jean-Jacques Daigneault,D,PIT,481715,
Garry Valk,LW,PIT,450000,
Glen Murray,RW,PIT,425000,
Shawn Antoski,LW,PIT,400000,
François Leroux,D,PIT,400000,
Jason Woolley,D,PIT,400000,
Andreas Johansson,LW,PIT,350000,
David Roche,LW,PIT,315000,
Ian Moran,D,PIT,300000,
Richard Park,C,PIT,300000,
Ed Patterson,RW,PIT,300000,
Alek Stojanov,RW,PIT,300000,
Joe Mullen,RW,PIT,285000,
Alex Hicks,LW,PIT,275000,
Tyler Wright,C,PIT,275000,
Jeff Christian,LW,PIT,250000,
Joe Dziedzic,LW,PIT,250000,
Patrick Lalime,G,PIT,230000,
Domenic Pittis,C,PIT,225000,
Philippe DeRouville,G,PIT,215000,
Brendan Shanahan,LW,HFD,3975000,
Paul Coffey,D,HFD,2600000,
Sean Burke,G,HFD,2300000,
Jeff Brown,D,HFD,2000000,
Steve Chiasson,D,HFD,1550000,
Geoff Sanderson,LW,HFD,1500000,
Glen Wesley,D,HFD,1500000,
Gerald Diduck,D,HFD,1275000,
Andrew Cassels,C,HFD,1000000,
Nelson Emerson,RW,HFD,1000000,
Adam Burt,D,HFD,900000,
Curtis Leschyshyn,D,HFD,875000,
Derek King,LW,HFD,853000,
Jeff O'Neill,C,HFD,850000,
Kevin Haller,D,HFD,800000,
Keith Primeau,C,HFD,800000,
Jean-Sébastien Giguère,G,HFD,725000,
Kevin Dineen,RW,HFD,637000,
Hnat Domenichelli,C,HFD,575000,
Paul Ranheim,LW,HFD,550000,
Steven Rice,RW,HFD,550000,
Brian Glynn,D,HFD,475000,
Stu Grimson,LW,HFD,470000,
Alexander Godynyuk,D,HFD,425000,
Sami Kapanen,RW,HFD,420000,
Glen Featherstone,D,HFD,415000,
Kelly Chase,RW,HFD,400000,
Andrei Nikolishin,C,HFD,400000,
Kevin Brown,RW,HFD,395000,
Marek Malik,D,HFD,375000,
Jeff Daniels,LW,HFD,350000,
Jason McBain,D,HFD,300000,
Jason Muzzatti,G,HFD,250000,
Nolan Pratt,D,HFD,250000,
Steve Martins,C,HFD,225000,
Chris Murray,RW,HFD,196392,
John Vanbiesbrouck,G,FLA,2200000,
Ed Jovanovski,D,FLA,1650000,
Ray Sheppard,RW,FLA,1600000,
Kirk Muller,LW,FLA,1556310,
Scott Mellanby,RW,FLA,1000000,
Rob Niedermayer,RW,FLA,900000,
Brian Skrudland,C,FLA,900000,
Robert Svehla,D,FLA,850000,
Gord Murphy,D,FLA,825000,
Stu Barnes,C,FLA,800000,
Radek Dvorak,RW,FLA,725000,
Martin Straka,C,FLA,700000,
Terry Carkner,D,FLA,675000,
Dave Lowry,LW,FLA,675000,
Johan Garpenlov,LW,FLA,550000,
Geoff Smith,D,FLA,550000,
Jody Hull,RW,FLA,515000,
Tom Fitzgerald,RW,FLA,510000,
Rhett Warrener,D,FLA,460000,
Mike Hough,RW,FLA,450000,
Paul Laus,D,FLA,450000,
Jason Podollan,RW,FLA,450000,
Chris Wells,C,FLA,440000,
Per Gustafsson,D,FLA,425000,
Steve Washburn,C,FLA,410000,
Bill Lindsay,LW,FLA,400000,
Jason Woolley,D,FLA,400000,
Craig Ferguson,C,FLA,350000,
David Nemirovsky,RW,FLA,335000,
Craig Martin,RW,FLA,300000,
Brad Smyth,RW,FLA,275000,
Craig Fisher,LW,FLA,250000,
Roman Hamrlik,D,TBL,2200000,
Daren Puppa,G,TBL,1900000,
Brian Bradley,C,TBL,1400000,
Dino Ciccarelli,RW,TBL,1250000,
Jeff Norton,D,TBL,1250000,
Brian Bellows,LW,TBL,1000000,
Chris Gratton,C,TBL,975000,
Shawn Burr,LW,TBL,850000,
Jason Wiemer,C,TBL,850000,
Daymond Langkow,C,TBL,800000,
Paul Ysebaert,LW,TBL,800000,
Alexander Selivanov,LW,TBL,725000,
Craig Wolanin,D,TBL,725000,
David Shaw,D,TBL,650000,
Rick Tabaracci,G,TBL,618819,
Cory Cross,D,TBL,550000,
John Cullen,C,TBL,550000,
Rob Zamuner,LW,TBL,525000,
Mikael Andersson,RW,TBL,500000,
Patrick Poulin,LW,TBL,500000,
Igor Ulanov,D,TBL,400000,
Drew Bannister,D,TBL,350000,
Bill Houlder,D,TBL,350000,
Brent Peterson,LW,TBL,350000,
Corey Schwab,G,TBL,350000,
Brantt Myhres,LW,TBL,310000,
Jamie Huscroft,D,TBL,302500,
Paul Brousseau,RW,TBL,300000,
Allan Egeland,C,TBL,300000,
Aaron Gavey,C,TBL,300000,
Rud Poeschek,D,TBL,300000,
Jeff Toms,LW,TBL,295000,
Derek Wilkinson,G,TBL,175000,
Phil Housley,D,WSH,2500000,
Mark Tinordi,D,WSH,2425000,
Joé Juneau,C,WSH,2200000,
Rick Tocchet,RW,WSH,2179000,
Adam Oates,C,WSH,2050000,
Jim Carey,G,WSH,2000000,
Brendan Witt,D,WSH,1600000,
Sylvain Côté,D,WSH,1300000,
Peter Bondra,RW,WSH,1267000,
Dale Hunter,C,WSH,995000,
Calle Johansson,D,WSH,950000,
Michal Pivonka,C,WSH,900000,
Curtis Leschyshyn,D,WSH,875000,
Steve Konowalchuk,LW,WSH,850000,
Joe Reekie,D,WSH,800000,
Keith Jones,RW,WSH,750000,
Kelly Miller,LW,WSH,700000,
Jason Allison,C,WSH,650000,
Jaroslav Svejkovsky,LW,WSH,600000,
Pat Peake,RW,WSH,550000,
Olaf Kolzig,G,WSH,500000,
Todd Krygier,LW,WSH,500000,
Craig Berube,LW,WSH,441000,
Sergei Gonchar,D,WSH,400000,
Andrei Nikolishin,C,WSH,400000,
Anson Carter,C,WSH,375000,
Mike Eagles,LW,WSH,350000,
Ken Klee,D,WSH,325000,
Patrick Boileau,D,WSH,300000,
Kevin Kaminski,C,WSH,300000,
Richard Zednik,LW,WSH,275000,
Andrew Brunette,LW,WSH,250000,
Eric Charron,D,WSH,250000,
Stewart Malgunas,D,WSH,240858,
Stefan Ustorf,C,WSH,225000,
Chris Chelios,D,CHI,2800000,
Bob Probert,LW,CHI,1600000,
Gary Suter,D,CHI,1600000,
Ulf Dahlen,RW,CHI,1300000,
Murray Craven,C,CHI,1250000,
Brent Sutter,C,CHI,1000000,
Kevin Miller,RW,CHI,850000,
Chris Terreri,G,CHI,826000,
Eric Weinrich,D,CHI,775000,
Tony Amonte,RW,CHI,762500,
Adam Creighton,C,CHI,750000,
Denis Savard,C,CHI,750000,
Ethan Moreau,LW,CHI,700000,
Steve Dubinsky,C,CHI,550000,
Jean-Yves Leroux,LW,CHI,550000,
James Black,D,CHI,450000,
Jeff Hackett,G,CHI,450000,
Basil McRae,LW,CHI,450000,
Cam Russell,D,CHI,450000,
Éric Dazé,LW,CHI,425000,
Dave Chyzowski,LW,CHI,400000,
Sergei Krivokrasov,RW,CHI,400000,
Christian Laflamme,D,CHI,400000,
Jeff Shantz,C,CHI,400000,
Enrico Ciccone,D,CHI,360000,
Jimmy Waite,G,CHI,300000,
Sergei Klimovich,C,CHI,275000,
Michal Sykora,D,CHI,260000,
Mike Prokopec,RW,CHI,255000,
Jim Cummins,RW,CHI,250000,
Sergei Fedorov,C,DET,4300000,
Steve Yzerman,C,DET,4025000,
Brendan Shanahan,LW,DET,3975000,
Larry Murphy,D,DET,2350000,
Mike Vernon,G,DET,2325200,
Nicklas Lidstrom,D,DET,1640000,
Tomas Sandstrom,RW,DET,1400000,
Bob Rouse,D,DET,1350000,
Vladimir Konstantinov,D,DET,1275000,
Vyacheslav Kozlov,LW,DET,1100000,
Igor Larionov,C,DET,1000000,
Darren McCarty,RW,DET,900000,
Viacheslav Fetisov,D,DET,825000,
Bob Errey,LW,DET,770000,
Chris Osgood,G,DET,750000,
Anders Eriksson,D,DET,650000,
Doug Brown,RW,DET,600000,
Greg Johnson,C,DET,500000,
Mathieu Dandenault,RW,DET,475000,
Kris Draper,C,DET,475000,
Tomas Holmstrom,LW,DET,475000,
Stu Grimson,LW,DET,470000,
Tim Taylor,C,DET,425000,
Mike Knuble,RW,DET,400000,
Aaron Ward,D,DET,330000,
Kirk Maltby,LW,DET,296440,
Jamie Pushor,D,DET,275000,
Kevin Hodson,G,DET,260000,
Mark Major,LW,DET,250000,
Brett Hull,RW,STL,4400000,
Al MacInnis,D,STL,3500000,
Pierre Turgeon,C,STL,3000000,
Joe Murphy,RW,STL,2800000,
Geoff Courtnall,LW,STL,2300000,
Chris Pronger,D,STL,1425000,
Shayne Corson,LW,STL,1145000,
Jon Casey,G,STL,1078000,
Grant Fuhr,G,STL,1025000,
Sergio Momesso,LW,STL,950000,
Brian Noonan,RW,STL,900000,
Marc Bergevin,D,STL,875000,
Murray Baron,D,STL,850000,
Steve Leach,RW,STL,825000,
Peter Zezel,C,STL,800000,
Craig MacTavish,C,STL,775000,
Trent Yawney,D,STL,725000,
Libor Zabransky,D,STL,719000,
Yuri Khmylev,LW,STL,700000,
Igor Kravchuk,D,STL,666990,
Stéphane Matteau,LW,STL,650000,
Jamie Rivers,D,STL,650000,
Mike Peluso,D,STL,591000,
Scott Pellerin,LW,STL,550000,
Tony Twist,LW,STL,550000,
Jim Campbell,RW,STL,440000,
Gary Leeman,LW,STL,400000,
Rob Pearson,RW,STL,400000,
Robert Petrovicky,C,STL,400000,
Jamal Mayers,RW,STL,388000,
Konstantin Shafronov,RW,STL,380000,
Christer Olsson,D,STL,375000,
Chris McAlpine,D,STL,278000,
Harry York,C,STL,275000,
Craig Conroy,C,STL,250000,
Ricard Persson,D,STL,240000,
Theoren Fleury,RW,CGY,2375000,
Robert Reichel,C,CGY,2000000,
Steve Chiasson,D,CGY,1550000,
Dave Gagner,C,CGY,1500000,
Zarley Zalapski,D,CGY,1500000,
Trevor Kidd,G,CGY,926375,
Jarome Iginla,RW,CGY,850000,
James Patrick,D,CGY,750000,
Yves Racine,D,CGY,750000,
German Titov,C,CGY,711456,
Rick Tabaracci,G,CGY,618819,
Tommy Albelin,D,CGY,600000,
Hnat Domenichelli,C,CGY,575000,
Ronnie Stern,RW,CGY,575000,
Sandy McCarthy,RW,CGY,555825,
Marko Jantunen,LW,CGY,550000,
Marty McInnis,LW,CGY,550000,
Mike Sullivan,C,CGY,511359,
Jonas Hoglund,LW,CGY,487500,
Glen Featherstone,D,CGY,415000,
Corey Millen,C,CGY,400000,
Paul Kruse,LW,CGY,370550,
Chris O'Sullivan,D,CGY,352023,
Jamie Huscroft,D,CGY,302500,
Aaron Gavey,C,CGY,300000,
Cale Hulse,D,CGY,300000,
Jamie Allison,D,CGY,277913,
Marty Murray,C,CGY,259385,
Cory Stillman,C,CGY,259385,
Todd Hlushko,LW,CGY,240858,
Dwayne Roloson,G,CGY,225000,
Ed Ward,RW,CGY,222330,
Dale McTavish,C,CGY,203803,
Todd Simpson,D,CGY,177864,
Joël Bouchard,D,CGY,166748,
Sami Helenius,D,CGY,166748,
Paxton Schulte,RW,CGY,166748,
Patrick Roy,G,COL,4567000,
Joe Sakic,C,COL,3100000,
Peter Forsberg,C,COL,1686003,
Sandis Ozolins,D,COL,1500000,
Uwe Krupp,D,COL,1450000,
Claude Lemieux,RW,COL,1150000,
Mike Ricci,C,COL,1050000,
Alexei Gusarov,D,COL,900000,
Adam Foote,D,COL,875000,
Curtis Leschyshyn,D,COL,875000,
Keith Jones,RW,COL,750000,
Mike Keane,RW,COL,725000,
Wade Belak,D,COL,675000,
Marc Denis,G,COL,600000,
Eric Lacroix,LW,COL,450000,
Stephane Yelle,C,COL,450000,
Adam Deadmarsh,RW,COL,444660,
René Corbet,LW,COL,375000,
Aaron Miller,D,COL,375000,
Brent Severyn,D,COL,375000,
Landon Wilson,RW,COL,370550,
Jon Klemm,D,COL,350000,
Josef Marha,C,COL,350000,
Éric Messier,D,COL,325000,
Craig Billington,G,COL,300000,
Richard Brennan,D,COL,300000,
Yves Sarault,LW,COL,300000,
Christian Matte,RW,COL,266796,
Curtis Joseph,G,EDM,2300000,
Jason Arnott,C,EDM,1800000,
Bob Essensa,G,EDM,1300000,
Jeff Norton,D,EDM,1250000,
Bryan Marchment,D,EDM,1000000,
Petr Klima,LW,EDM,835000,
Steve Kelly,LW,EDM,700000,
Luke Richardson,D,EDM,674401,
Mats Lindgren,C,EDM,629935,
Andrei Kovalenko,LW,EDM,562500,
Kelly Buchberger,RW,EDM,500243,
Ryan Smyth,LW,EDM,490979,
Sean Brown,D,EDM,444660,
Mike Grier,RW,EDM,370550,
Daniel McGillis,D,EDM,370550,
Drew Bannister,D,EDM,350000,
Todd Marchant,LW,EDM,350000,
Louie DeBrusk,LW,EDM,340906,
Bryan Muir,D,EDM,319859,
Donald Dufresne,D,EDM,314968,
Dean McAmmond,LW,EDM,303851,
Craig Millar,D,EDM,301700,
Mariusz Czerkawski,RW,EDM,300000,
Jesse Bélanger,C,EDM,296440,
Miroslav Satan,LW,EDM,274207,
David Oliver,RW,EDM,266796,
Barrie Moore,LW,EDM,250000,
Bruce Gardiner,C,EDM,203803,
Pavel Bure,RW,VAN,5000000,
Alexander Mogilny,RW,VAN,3575000,
Trevor Linden,C,VAN,2400000,
Kirk McLean,G,VAN,2350000,
Jirky Lumme,D,VAN,1635000,
Russ Courtnall,RW,VAN,1485000,
Dana Murzyn,D,VAN,1100000,
Mike Ridley,C,VAN,1000000,
Brian Noonan,RW,VAN,900000,
Esa Tikkanen,LW,VAN,815210,
Sergei Nemchinov,C,VAN,750000,
Alexander Semak,C,VAN,735000,
Bret Hedican,D,VAN,700000,
Frantisek Kucera,D,VAN,700000,
Dave Babych,D,VAN,650000,
Corey Hirsch,G,VAN,650000,
David Roberts,LW,VAN,575000,
Martin Gélinas,LW,VAN,574353,
Chris Joseph,D,VAN,440000,
Mike Sillinger,C,VAN,440000,
Steve Staios,D,VAN,325000,
Mark Wotton,D,VAN,305000,
Donald Brashear,LW,VAN,300000,
Leif Rohlin,D,VAN,275000,
Larry Courville,LW,VAN,251974,
Adrian Aucoin,D,VAN,229741,
Scott Walker,RW,VAN,222330,
Evgeny Namestnikov,D,VAN,200097,
Jassen Cullimore,D,VAN,183793,
Lonny Bohonos,C,VAN,155631,
Teemu Selanne,RW,ANA,2850000,
Paul Kariya,LW,ANA,2075000,
Jari Kurri,RW,ANA,1500000,
Guy Hebert,G,ANA,1050000,
Brian Bellows,LW,ANA,1000000,
Roman Oksiuta,RW,ANA,675000,
Bobby Dollas,D,ANA,650000,
Fredrick Olausson,D,ANA,650000,
Dmitri Mironov,D,ANA,600000,
Kevin Todd,C,ANA,600000,
Ken Baumgartner,RW,ANA,550000,
Dan Trebil,D,ANA,550000,
Joe Sacco,RW,ANA,500000,
Jean-Jacques Daigneault,D,ANA,481715,
Warren Rychel,LW,ANA,475000,
Mike Leclerc,LW,ANA,460000,
Mikhail Shtalenkov,G,ANA,450000,
Garry Valk,LW,ANA,450000,
Shawn Antoski,LW,ANA,400000,
Valeri Karpov,LW,ANA,400000,
Frank Banham,RW,ANA,370000,
Jason Marshall,D,ANA,350000,
Ted Drury,C,ANA,340000,
Adrien Plavsic,D,ANA,325000,
Steve Rucchin,C,ANA,325000,
Richard Park,C,ANA,300000,
Alex Hicks,LW,ANA,275000,
Mike Anthony O'Neill,G,ANA,275000,
Jean-François Jomphe,C,ANA,250000,
Craig Reichert,RW,ANA,250000,
Peter Leboutillier,RW,ANA,225000,
Darren Van Impe,D,ANA,200000,
Sean Pronger,C,ANA,170000,
Jeremy Stevenson,LW,ANA,170000,
Pat Verbeek,RW,DAL,3000000,
