player,pos,team,salary,caphit
Pierre Turgeon,C,MTL,3000000,
Mark Recchi,RW,MTL,2450000,
Vincent Damphousse,C,MTL,1926860,
Stéphane Richer,RW,MTL,1791000,
Saku Koivu,C,MTL,1650000,
Dave Manson,D,MTL,1500000,
Martin Rucinsky,LW,MTL,1350000,
Shayne Corson,LW,MTL,1145000,
Peter Popovic,D,MTL,1100000,
Vladimir Malakhov,D,MTL,1074595,
Patrice Brisebois,D,MTL,900000,
Jocelyn Thibault,G,MTL,875000,
Murray Baron,D,MTL,850000,
Stéphane Quintal,D,MTL,850000,
Terry Ryan,LW,MTL,834000,
Brad Brown,D,MTL,700000,
Valeri Bure,RW,MTL,700000,
Brian Savage,LW,MTL,700000,
Benoit Brunet,LW,MTL,560000,
Turner Stevenson,RW,MTL,500000,
Scott Thornton,C,MTL,500000,
Marc Bureau,C,MTL,450000,
Pat Jablonski,G,MTL,400000,
José Théodore,G,MTL,314968,
Donald Brashear,LW,MTL,300000,
Pierre Sévigny,C,MTL,285324,
David Ling,RW,MTL,222330,
Craig Rivet,D,MTL,222330,
David Wilkie,D,MTL,222330,
Sébastien Bordeleau,C,MTL,207508,
Darcy Tucker,C,MTL,203803,
Tomas Vokoun,G,MTL,200097,
Chris Murray,RW,MTL,196392,
François Groleau,D,MTL,192686,
Jassen Cullimore,D,MTL,183793,
Éric Houde,C,MTL,166748,
Raymond Bourque,D,BOS,2501600,
Rick Tocchet,RW,BOS,2179000,
Adam Oates,C,BOS,2050000,
Jim Carey,G,BOS,2000000,
Don Sweeney,D,BOS,1000000,
Kyle McLaren,D,BOS,725000,
Ted Donato,LW,BOS,712500,
Todd Elik,C,BOS,675000,
Jason Allison,C,BOS,650000,
Jeff Odgers,RW,BOS,600000,
Steve Heinze,RW,BOS,450000,
Jozef Stumpel,C,BOS,450000,
Sandy Moger,RW,BOS,435000,
Dean Chynoweth,D,BOS,425000,
Barry Richter,D,BOS,425000,
Mattias Timander,D,BOS,425000,
Rob DiMaio,RW,BOS,400000,
Jon Rohloff,D,BOS,400000,
Anson Carter,C,BOS,375000,
Brett Harkins,LW,BOS,375000,
Anders Myrvold,D,BOS,375000,
Landon Wilson,RW,BOS,370550,
Bob Beers,D,BOS,350000,
Jean-Yves Roy,RW,BOS,350000,
David Emma,RW,BOS,325000,
Troy Mallette,LW,BOS,325000,
Trent McCleary,RW,BOS,325000,
Steve Staios,D,BOS,325000,
Tim Sweeney,LW,BOS,325000,
Cam Stewart,LW,BOS,300000,
Tim Cheveldae,G,BOS,285000,
Evgeny Shaldybin,D,BOS,285000,
Scott Bailey,G,BOS,275000,
Kevin Sawyer,RW,BOS,275000,
Clayton Beddoes,C,BOS,250000,
Sheldon Kennedy,RW,BOS,250000,
Davis Payne,RW,BOS,250000,
André Roy,LW,BOS,230000,
Dean Malkoc,D,BOS,222330,
Rob Tallas,G,BOS,175000,
Alexei Yashin,C,OTT,2700000,
Alexandre Daigle,RW,OTT,2297410,
Steve Duchesne,D,OTT,2000000,
Radek Bonk,C,OTT,981958,
Shawn McEachern,LW,OTT,850000,
Wade Redden,D,OTT,850000,
Sean Hill,D,OTT,625000,
Tom Chorske,LW,OTT,577000,
Denis Vial,D,OTT,475000,
Randy Cunneyworth,LW,OTT,450000,
Frank Musil,D,OTT,426133,
Shaun Van Allen,C,OTT,425000,
Janne Laukkanen,D,OTT,400000,
Jason York,D,OTT,400000,
Christer Olsson,D,OTT,375000,
Stanislav Neckar,D,OTT,370550,
Radim Bicanek,D,OTT,359434,
Sergei Zholtok,C,OTT,350000,
Daniel Alfredsson,RW,OTT,251974,
Dave Hannan,LW,OTT,250000,
Lance Pitlick,D,OTT,240858,
Andreas Dackell,RW,OTT,233447,
Ron Tugnutt,G,OTT,207508,
Mike Bales,G,OTT,203803,
Denis Chassé,C,OTT,203803,
Phil Crowe,RW,OTT,203803,
Denny Lambert,LW,OTT,203803,
Phil Von Stefenelli,D,OTT,203803,
Jason Zent,LW,OTT,85275,
Larry Murphy,D,TOR,2350000,
Félix Potvin,G,TOR,2300000,
Doug Gilmour,C,TOR,2260355,
Wendel Clark,LW,TOR,2050000,
Mats Sundin,C,TOR,2038025,
Mathieu Schneider,D,TOR,1700000,
Kirk Muller,LW,TOR,1556310,
Jamie Macoun,D,TOR,1100000,
Don Beaupre,G,TOR,963000,
Dave Ellett,D,TOR,815210,
Craig Wolanin,D,TOR,725000,
Jeff Ware,D,TOR,700000,
Dmitri Yushkevich,D,TOR,700000,
Sergei Berezin,LW,TOR,684000,
Mike Craig,RW,TOR,600000,
Tie Domi,RW,TOR,600000,
Rob Zettler,D,TOR,480000,
Jamie Baker,C,TOR,475000,
Jason Podollan,RW,TOR,450000,
Kelly Chase,RW,TOR,400000,
Nick Kypreos,LW,TOR,400000,
Jason Smith,D,TOR,375000,
Fredrik Modin,LW,TOR,370550,
