player,team,position,caphit_2016-17,caphit_2017-18,salary_2016-17,salary_2017-18,salary_2018-19,salary_2019-20,salary_2020-21
Ryan Miller,VAN,Goaltender,6.000,0.000,6.000,UFA,,,
Ben Bishop,TBL,Goaltender,5.950,0.000,5.950,UFA,,,
Patrick Sharp,DAL,Left,5.900,0.000,5.000,UFA,,,
Semyon Varlamov,COL,Goaltender,5.900,5.900,6.000,5.750,5.500,UFA,
Aleksander Barkov,FLA,Center,5.900,5.900,4.500,5.250,6.250,6.900,4.750
Kari Lehtonen,DAL,Goaltender,5.900,5.900,6.000,5.000,UFA,,
Dustin Brown,LAK,Right,5.875,5.875,7.000,6.500,5.500,5.500,4.000
Brandon Dubinsky,CLB,Center,5.850,5.850,5.850,5.850,5.850,5.850,5.850
Alexander Steen,STL,Center,5.800,5.750,6.500,7.000,7.000,5.500,3.500
Jonathan Quick,LAK,Goaltender,5.800,5.800,7.000,7.000,7.000,7.000,3.500
Ryan Callahan,TBL,Right,5.800,5.800,6.500,6.500,4.700,4.700,UFA
Brent Burns,SJS,Defence,5.760,8.000,5.760,10.000,10.000,10.000,10.000
Dougie Hamilton,CGY,Defence,5.750,5.750,5.500,5.750,5.750,6.000,6.000
Andrei Markov,MTL,Defence,5.750,0.000,4.250,UFA,,,
Marc-Andre Fleury,PIT,Goaltender,5.750,5.750,5.750,5.750,5.750,UFA,
Alexander Radulov,MTL,Right,5.750,0.000,5.750,UFA,,,
Travis Zajac,NJD,Center,5.750,5.750,6.500,6.500,6.500,5.750,5.750
Toby Enstrom,WPG,Defence,5.750,5.750,5.750,5.750,UFA,,
Tyler Seguin,DAL,Center,5.750,5.750,6.000,6.000,6.500,UFA,
Matt Niskanen,WAS,Defence,5.750,5.750,5.750,5.750,5.750,5.750,5.750
Jeff Skinner,CAR,Center,5.725,5.725,6.000,6.000,6.000,UFA,
Marc Staal,NYR,Defence,5.700,5.700,6.000,6.000,6.000,5.000,4.200
Mike Smith,ARI,Goaltender,5.667,5.667,6.500,6.000,5.000,UFA,
