player,team,position,caphit_2016-17,caphit_2017-18,salary_2016-17,salary_2017-18,salary_2018-19,salary_2019-20,salary_2020-21
Martin Hanzal,ARI,Center,3.100,0.000,3.500,UFA,,,
Kris Russell,EDM,Defence,3.100,0.000,3.100,UFA,,,
Marcus Kruger,CHI,Center,3.083,3.083,3.475,3.475,2.300,UFA,
15/16 Cap Overage,CHI,Left,3.070,0.000,3.070,,,,
Michael Dal Colle,NYI,Left,3.063,3.063,0.925,0.833,0.833,RFA,
Tomas Hertl,SJS,Center,3.000,3.000,2.800,3.200,RFA,,
Andrew Cogliano,ANA,Center,3.000,3.000,3.100,3.300,UFA,,
Mathieu Perreault,WPG,Center,3.000,4.125,3.000,4.500,4.000,4.000,4.000
Mikael Granlund,MIN,Center,3.000,0.000,3.200,RFA,,,
Martin Jones,SJS,Goaltender,3.000,3.000,3.000,3.000,UFA,,
Jacob Trouba,WPG,Defence,3.000,3.000,2.500,3.500,RFA,,
Stephane Robidas,TOR,Defence,3.000,0.000,2.000,UFA,,,
Evgeny Kuznetsov,WAS,Center,3.000,0.000,3.400,RFA,,,
Leo Komarov,TOR,Center,2.950,2.950,2.950,2.950,UFA,,
Thatcher Demko,VAN,Goaltender,2.942,2.942,0.925,0.925,0.925,RFA,
Deryk Engelland,CGY,Defence,2.917,0.000,2.750,UFA,,,
Carl Gunnarsson,STL,Defence,2.900,2.900,2.900,2.900,2.900,UFA,
Boone Jenner,CLB,Center,2.900,2.900,2.900,2.900,RFA,,
Kevin Klein,NYR,Defence,2.900,2.900,2.750,2.750,UFA,,
Ron Hainsey,CAR,Defence,2.833,0.000,2.500,UFA,,,
Karl Alzner,WAS,Defence,2.800,0.000,2.800,UFA,,,
Alex Galchenyuk,MTL,Center,2.800,0.000,3.100,RFA,,,
Cody Ceci,OTT,Defence,2.800,2.800,2.250,3.350,RFA,,
David Desharnais,EDM,Center,2.800,0.000,3.500,UFA,,,
Cal Clutterbuck,NYI,Right,2.750,3.500,3.500,5.000,4.000,3.500,2.500
Eddie Lack,CAR,Goaltender,2.750,2.750,2.500,3.000,UFA,,
Adam McQuaid,BOS,Defence,2.750,2.750,3.000,3.000,2.000,UFA,
Tomas Tatar,DET,Center,2.750,0.000,2.750,RFA,,,
Brendan Smith,DET,Defence,2.750,0.000,3.250,UFA,,,
Brendan Smith,NYR,Defence,2.750,0.000,3.250,UFA,,,
Vladimir Sobotka,STL,Center,2.725,0.000,2.725,UFA,,,
Elias Lindholm,CAR,Center,2.700,2.700,2.500,2.900,RFA,,
Nino Niederreiter,MIN,Right,2.667,0.000,3.500,RFA,,,
Ben Lovejoy,NJD,Defence,2.667,2.667,2.500,2.750,2.750,UFA,
Jarome Iginla,LAK,Right,2.667,0.000,5.000,UFA,,,
Jarome Iginla,COL,Right,2.667,0.000,2.667,,,,
Derek Dorsett,VAN,Right,2.650,2.650,2.500,2.500,2.500,UFA,
Colin Greening,TOR,Center,2.650,0.000,3.200,UFA,,,
Colin Greening,TOR,Center,2.650,0.000,3.200,UFA,,,
Mark Stuart,WPG,Defence,2.625,2.625,2.700,1.750,UFA,,
Mika Zibanejad,NYR,Center,2.625,0.000,3.250,RFA,,,
J.T. Miller,NYR,Center,2.625,2.625,2.500,2.750,RFA,,
Mark Streit,TBL,Defence,2.625,0.000,2.625,,,,
Kevin Hayes,NYR,Right,2.600,2.600,2.600,2.600,RFA,,
Thomas Vanek,DET,Left,2.600,0.000,2.600,UFA,,,
Kevin Shattenkirk,WAS,Defence,2.592,0.000,5.200,UFA,,,
Dmitry Orlov,WAS,Defence,2.570,0.000,2.570,RFA,,,
Mathew Dumba,MIN,Defence,2.550,2.550,2.350,2.750,RFA,,
Matt Greene,LAK,Defence,2.500,2.500,2.500,2.500,UFA,,
Jannik Hansen,VAN,Right,2.500,2.500,3.000,3.000,UFA,,
Matt Martin,TOR,Left,2.500,2.500,3.500,2.500,2.250,1.750,UFA
Brian Elliott,CGY,Goaltender,2.500,0.000,2.700,UFA,,,
Joe Colborne,COL,Center,2.500,2.500,2.500,2.500,UFA,,
Ryan Strome,NYI,Center,2.500,2.500,2.000,3.000,RFA,,
Ryan Ellis,NAS,Defence,2.500,2.500,2.500,3.000,3.500,UFA,
Kevan Miller,BOS,Defence,2.500,2.500,2.500,2.500,2.500,2.500,UFA
Brock Nelson,NYI,Center,2.500,2.500,2.500,3.500,RFA,,
Nail Yakupov,STL,Right,2.500,0.000,2.500,RFA,,,
Lee Stempniak,CAR,Right,2.500,2.500,2.500,2.500,UFA,,
Jannik Hansen,SJS,Right,2.500,2.500,3.000,3.000,UFA,,
Tommy Wingels,SJS,Center,2.475,0.000,2.600,UFA,,,
Blake Comeau,COL,Right,2.400,2.400,2.400,2.400,UFA,,
Mark Streit,PIT,Defence,2.378,0.000,4.000,UFA,,,
Michael Raffl,PHI,Left,2.350,2.350,2.350,2.350,2.350,UFA,
Jake Allen,STL,Goaltender,2.350,4.350,2.500,3.850,4.350,5.200,4.000
Dale Weise,PHI,Right,2.350,2.350,2.750,2.550,2.350,1.750,UFA
Alexander Semin,CAR,Left,2.333,2.333,2.333,2.333,2.333,2.333,2.333
John Gibson,ANA,Goaltender,2.300,2.300,1.500,2.100,3.300,RFA,
Jimmy Hayes,BOS,Right,2.300,2.300,2.300,2.600,UFA,,
Ryan Murray,CLB,Defence,2.285,2.285,2.285,2.285,RFA,,
Brian Campbell,CHI,Defence,2.250,0.000,1.500,UFA,,,
Jason Chimera,NYI,Left,2.250,2.250,2.000,2.500,UFA,,
Marcus Foligno,BUF,Left,2.250,0.000,2.250,RFA,,,
Nick Schultz,PHI,Defence,2.250,0.000,2.250,UFA,,,
Roman Polak,TOR,Defence,2.250,0.000,2.250,UFA,,,
Daniel Winnik,WAS,Center,2.250,0.000,1.800,UFA,,,
Tobias Rieder,ARI,Center,2.225,2.225,2.000,2.450,RFA,,
Robin Lehner,BUF,Goaltender,2.225,0.000,3.150,RFA,,,
Matt Calvert,CLB,Left,2.200,2.200,2.200,2.900,UFA,,
Lance Bouma,CGY,Center,2.200,2.200,2.200,2.300,UFA,,
Thomas Hickey,NYI,Defence,2.200,2.200,2.250,3.100,UFA,,
Shawn Matthias,WPG,Center,2.125,2.125,2.125,2.125,UFA,,
David Schlemko,SJS,Defence,2.100,2.100,2.500,2.250,1.850,1.800,UFA
Ian Cole,PIT,Defence,2.100,2.100,2.300,2.500,UFA,,
Brad Richardson,ARI,Center,2.083,2.083,2.250,2.250,UFA,,
Riley Sheahan,DET,Center,2.075,2.075,2.075,2.075,RFA,,
Jakub Kindl,FLA,Defence,2.040,0.000,3.000,UFA,,,
Mike Reilly,MIN,Defence,2.025,0.000,0.925,RFA,,,
Michael Stone,CGY,Defence,2.000,0.000,4.000,UFA,,,
Eric Fehr,PIT,Center,2.000,2.000,2.000,2.000,UFA,,
Brian Boyle,TBL,Center,2.000,0.000,2.000,UFA,,,
Antoine Roussel,DAL,Left,2.000,2.000,2.200,2.400,UFA,,
Trevor Lewis,LAK,Center,2.000,2.000,2.000,2.000,2.000,2.000,UFA
Calle Jarnkrok,NAS,Center,2.000,2.000,1.700,1.800,2.100,2.200,2.200
Jason Zucker,MIN,Left,2.000,2.000,2.000,2.000,RFA,,
Tom Wilson,WAS,Right,2.000,2.000,1.750,2.250,RFA,,
Brian Boyle,TOR,Center,2.000,0.000,2.000,UFA,,,
Fedor Tyutin,COL,Defence,2.000,0.000,2.000,UFA,,,
Michael Stone,ARI,Defence,2.000,0.000,2.000,,,,
Jiri Hudler,DAL,Center,2.000,0.000,2.000,UFA,,,
John-Michael Liles,BOS,Defence,2.000,0.000,2.000,UFA,,,
Eric Fehr,TOR,Center,2.000,2.000,2.000,2.000,UFA,,
Olli Juolevi,VAN,Defence,1.975,1.975,0.925,0.925,0.925,RFA,
Calvin de Haan,NYI,Defence,1.967,0.000,2.500,RFA,,,
Dwight King,LAK,Left,1.950,0.000,2.100,UFA,,,
Dwight King,MTL,Left,1.950,0.000,2.100,UFA,,,
Vladislav Namestnikov,TBL,Center,1.938,1.938,1.900,1.975,RFA,,
Nick Bonino,PIT,Center,1.900,0.000,2.100,UFA,,,
Zack Smith,OTT,Center,1.887,3.250,2.350,3.250,3.250,3.250,3.250
Johnny Oduya,CHI,Defence,1.875,0.000,3.750,UFA,,,
Johnny Oduya,DAL,Defence,1.875,0.000,1.875,,,,
Matt Hendricks,EDM,Center,1.850,0.000,1.850,UFA,,,
Sven Baertschi,VAN,Left,1.850,1.850,1.700,2.000,RFA,,
Matthew Carle,TBL,Defence,1.833,1.833,1.833,1.833,1.833,1.833,
Mark Letestu,EDM,Center,1.800,1.800,1.800,1.800,UFA,,
John Mitchell,COL,Center,1.800,0.000,1.900,UFA,,,
Nikita Zaitsev,TOR,Defence,1.775,0.000,0.925,RFA,,,
Kyle Connor,WPG,Left,1.775,1.775,0.925,0.925,0.925,RFA,
Mikhail Sergachev,MTL,Defence,1.775,1.775,0.925,0.925,0.925,RFA,
Andy Welinski,ANA,Defence,1.775,1.775,0.925,0.925,RFA,,
Ville Pokka,CHI,Defence,1.775,0.000,0.925,RFA,,,
Noah Hanifin,CAR,Defence,1.775,1.775,0.925,0.925,RFA,,
Matthew Tkachuk,CGY,Left,1.775,1.775,0.925,0.925,0.925,RFA,
Sebastian Aho,CAR,Right,1.775,1.775,0.925,0.925,0.925,RFA,
Kasimir Kaskisuo,TOR,Goaltender,1.775,1.775,0.925,0.925,RFA,,
Zachary Werenski,CLB,Defence,1.775,1.775,0.925,0.925,0.925,RFA,
Alexander Nylander,BUF,Left,1.775,1.775,0.925,0.925,0.925,RFA,
Trevor Moore,TOR,Center,1.775,1.775,0.925,0.925,0.925,RFA,
Jay Beagle,WAS,Right,1.750,1.750,1.750,1.750,UFA,,
Antoine Vermette,ANA,Center,1.750,1.750,1.750,1.750,UFA,,
Bo Horvat,VAN,Center,1.744,0.000,0.833,RFA,,,
Nikita Zadorov,COL,Defence,1.744,0.000,0.833,RFA,,,
William Nylander,TOR,Center,1.744,1.744,0.925,0.833,RFA,,
Jake Virtanen,VAN,Right,1.744,1.744,0.925,0.833,RFA,,
Ivan Provorov,PHI,Defence,1.744,1.744,0.925,0.925,0.833,RFA,
Mitchell Marner,TOR,Center,1.744,1.744,0.925,0.925,0.833,RFA,
Pavel Zacha,NJD,Center,1.744,1.744,0.925,0.925,0.833,RFA,
Tommy Wingels,OTT,Center,1.732,0.000,2.600,UFA,,,
Darnell Nurse,EDM,Defence,1.713,1.713,0.833,0.833,RFA,,
Haydn Fleury,CAR,Defence,1.713,1.713,0.925,0.833,0.833,RFA,
Brayden McNabb,LAK,Defence,1.700,1.700,1.600,1.800,UFA,,
Chad Johnson,CGY,Goaltender,1.700,0.000,1.700,UFA,,,
Denis Gurianov,DAL,Left,1.675,1.675,0.925,0.925,0.925,RFA,
John Moore,NJD,Defence,1.667,1.667,1.750,1.950,UFA,,
Kevin Shattenkirk,STL,Defence,1.657,0.000,1.657,,,,
Michael Grabner,NYR,Right,1.650,1.650,1.650,1.650,UFA,,
Nick Holden,NYR,Defence,1.650,1.650,1.650,1.800,UFA,,
Timo Meier,SJS,Right,1.644,1.644,0.925,0.925,0.833,RFA,
Logan Brown,OTT,Center,1.635,1.635,0.925,0.925,0.925,RFA,
Nick Ritchie,ANA,Left,1.627,1.627,0.925,0.833,RFA,,
Mikko Rantanen,COL,Right,1.627,1.627,0.925,0.925,0.833,RFA,
Melker Karlsson,SJS,Center,1.625,0.000,1.800,RFA,,,
Michal Neuvirth,PHI,Goaltender,1.625,1.625,1.750,2.500,2.500,UFA,
Lawson Crouse,ARI,Left,1.603,1.603,0.925,0.925,0.833,RFA,
R.J. Umberger,PHI,Center,1.600,1.600,1.600,1.500,,,
Teddy Purcell,LAK,Right,1.600,0.000,1.600,UFA,,,
Nate Thompson,ANA,Center,1.600,0.000,1.700,UFA,,,
Kyle Clifford,LAK,Left,1.600,1.600,1.250,1.700,1.800,1.900,UFA
Jake McCabe,BUF,Defence,1.600,1.600,1.250,1.775,1.775,RFA,
Teddy Purcell,LAK,Right,1.600,0.000,1.600,UFA,,,
Nikolaj Ehlers,WPG,Left,1.594,1.594,0.925,0.833,RFA,,
Eric Gelinas,COL,Defence,1.575,0.000,1.650,RFA,,,
Dalton Prout,CLB,Defence,1.575,1.575,1.250,1.900,UFA,,
Eric Gelinas,COL,Defence,1.575,0.000,1.650,RFA,,,
Dalton Prout,NJD,Defence,1.575,1.575,1.250,1.900,UFA,,
Mike Richards,LAK,Center,1.570,1.570,1.570,1.570,1.570,1.570,0.700
Martin Hanzal,ARI,Center,1.550,0.000,1.550,,,,
Darcy Kuemper,MIN,Goaltender,1.550,0.000,1.550,UFA,,,
Jacob Markstrom,VAN,Goaltender,1.550,3.667,1.600,3.400,3.600,4.000,UFA
Alex Burmistrov,ARI,Center,1.550,0.000,1.600,RFA,,,
Martin Hanzal,MIN,Center,1.550,0.000,3.500,UFA,,,
Alex Burmistrov,WPG,Center,1.550,0.000,1.600,RFA,,,
Nick Schmaltz,CHI,Center,1.542,1.542,0.925,0.925,0.925,RFA,
Anton Slepyshev,EDM,Left,1.525,1.525,0.925,0.925,RFA,,
Chris Neil,OTT,Right,1.500,0.000,1.500,UFA,,,
Gregory Campbell,CLB,Center,1.500,0.000,1.700,UFA,,,
Thomas Greiss,NYI,Goaltender,1.500,3.333,2.000,3.000,3.250,3.750,UFA
Cody McCormick,BUF,Center,1.500,0.000,1.000,UFA,,,
Thomas Vanek,MIN,Left,1.500,1.500,1.500,2.500,,,
Viktor Stalberg,CAR,Left,1.500,0.000,1.500,UFA,,,
Zack Kassian,EDM,Right,1.500,0.000,1.500,RFA,,,
Patrick Maroon,EDM,Left,1.500,1.500,2.000,2.100,UFA,,
Viktor Stalberg,OTT,Left,1.500,0.000,1.500,UFA,,,
Mark Jankowski,CGY,Center,1.494,1.494,0.925,0.925,RFA,,
Andrei Vasilevskiy,TBL,Goaltender,1.475,3.500,0.925,3.000,3.500,4.000,RFA
Malcolm Subban,BOS,Goaltender,1.463,0.000,0.833,RFA,,,
Andrej Sustr,TBL,Defence,1.450,0.000,1.600,RFA,,,
Reto Berra,FLA,Goaltender,1.450,0.000,1.500,UFA,,,
Tanner Glass,NYR,Left,1.450,0.000,1.000,UFA,,,
Alexey Marchenko,DET,Defence,1.450,1.450,1.300,1.600,RFA,,
Alexey Marchenko,TOR,Defence,1.450,1.450,1.300,1.600,UFA,,
Reto Berra,FLA,Goaltender,1.450,0.000,1.500,UFA,,,
Tanner Glass,NYR,Left,1.450,0.000,1.000,UFA,,,
Mike Ribeiro,ARI,Center,1.444,1.444,1.444,1.944,1.944,1.944,
Slater Koekkoek,TBL,Defence,1.444,0.000,0.833,RFA,,,
Brandon Davidson,EDM,Defence,1.425,1.425,1.300,1.550,RFA,,
Jake Bean,CAR,Defence,1.425,1.425,0.925,0.925,0.925,RFA,
Dylan Larkin,DET,Center,1.425,1.425,0.925,0.925,RFA,,
Michael McLeod,NJD,Center,1.425,1.425,0.925,0.925,0.925,RFA,
Brandon Davidson,MTL,Defence,1.425,1.425,1.300,1.550,RFA,,
Shayne Gostisbehere,PHI,Defence,1.421,0.000,0.925,RFA,,,
15/16 Cap Overage,FLA,Left,1.420,0.000,1.420,,,,
Ron Hainsey,CAR,Defence,1.417,0.000,1.417,,,,
Ron Hainsey,PIT,Defence,1.417,0.000,2.500,UFA,,,
Tom Gilbert,LAK,Defence,1.400,0.000,1.400,UFA,,,
Alexander Wennberg,CLB,Center,1.400,0.000,0.925,RFA,,,
Tanner Pearson,LAK,Left,1.400,0.000,1.550,RFA,,,
Tom Gilbert,LAK,Defence,1.400,0.000,1.400,UFA,,,
Justin Schultz,PIT,Defence,1.400,0.000,1.400,RFA,,,
Ryan Pulock,NYI,Defence,1.363,1.363,0.833,0.833,RFA,,
Max Domi,ARI,Center,1.363,1.363,0.833,0.833,RFA,,
Joshua Morrissey,WPG,Defence,1.363,1.363,0.833,0.833,RFA,,
Julius Honka,DAL,Defence,1.363,1.363,0.925,0.833,0.833,RFA,
Jakub Vrana,WAS,Left,1.363,1.363,0.925,0.833,0.833,RFA,
Kevin Fiala,NAS,Left,1.363,1.363,0.925,0.833,0.833,RFA,
Brendan Perlini,ARI,Left,1.363,1.363,0.925,0.833,0.833,RFA,
Samuel Morin,PHI,Defence,1.363,1.363,0.833,0.833,RFA,,
Drake Caggiula,EDM,Left,1.350,1.350,0.925,0.925,RFA,,
Alex Tuch,MIN,Right,1.350,1.350,0.925,0.925,0.925,RFA,
Andrew Hammond,OTT,Goaltender,1.350,1.350,1.350,1.500,UFA,,
Andrew Hammond,OTT,Goaltender,1.350,1.350,1.350,1.500,UFA,,
Matthew O'Connor,OTT,Goaltender,1.350,0.000,0.925,RFA,,,
Marcus Sorensen,SJS,Left,1.350,0.000,0.925,RFA,,,
Mantas Armalis,SJS,Goaltender,1.350,0.000,0.925,RFA,,,
Hudson Fasching,BUF,Right,1.350,1.350,0.925,0.925,RFA,,
Jakob Chychrun,ARI,Defence,1.350,1.350,0.925,0.925,0.925,RFA,
Teuvo Teravainen,CAR,Center,1.344,0.000,0.833,RFA,,,
Radek Faksa,DAL,Center,1.338,0.000,0.833,RFA,,,
Cody McLeod,COL,Left,1.333,1.333,1.250,1.250,UFA,,
Cody McLeod,NAS,Left,1.333,1.333,1.250,1.250,UFA,,
Tim Gleason,TOR,Defence,1.333,1.333,1.333,1.333,,,
P.A. Parenteau,MTL,Left,1.333,0.000,1.333,,,,
Jake DeBrusk,BOS,Left,1.319,1.319,0.925,0.925,0.833,RFA,
Mirco Mueller,SJS,Defence,1.319,0.000,0.833,RFA,,,
Zachary Senyshyn,BOS,Right,1.319,1.319,0.925,0.925,0.833,RFA,
Jakub Zboril,BOS,Defence,1.319,1.319,0.925,0.925,0.833,RFA,
Derek MacKenzie,FLA,Center,1.300,1.375,1.300,1.650,1.100,UFA,
Mikhail Grigorenko,COL,Center,1.300,0.000,1.300,RFA,,,
Peter Holland,TOR,Center,1.300,0.000,1.300,RFA,,,
Devante Smith-Pelly,NJD,Right,1.300,1.300,1.250,1.350,RFA,,
Peter Holland,ARI,Center,1.300,0.000,1.300,RFA,,,
Thomas Vanek,FLA,Left,1.300,0.000,2.600,UFA,,,
Thomas Vanek,DET,Left,1.300,0.000,1.300,,,,
Travis Sanheim,PHI,Defence,1.294,1.294,0.925,0.925,0.833,RFA,
Mathew Barzal,NYI,Center,1.294,1.294,0.925,0.925,0.833,RFA,
Derrick Pouliot,PIT,Defence,1.288,0.000,0.833,RFA,,,
Joakim Nordstrom,CAR,Center,1.275,1.275,1.250,1.300,RFA,,
Sonny Milano,CLB,Left,1.263,1.263,0.925,0.833,0.833,RFA,
Anthony DeAngelo,ARI,Defence,1.263,1.263,0.925,0.833,0.833,RFA,
Curtis Lazar,OTT,Center,1.254,0.000,0.833,RFA,,,
Thomas Chabot,OTT,Defence,1.254,1.254,0.925,0.925,0.833,RFA,
Curtis Lazar,CGY,Center,1.254,0.000,0.833,RFA,,,
Martin Marincin,TOR,Defence,1.250,1.250,1.200,1.300,RFA,,
Vernon Fiddler,NJD,Center,1.250,0.000,1.250,UFA,,,
Erik Condra,TBL,Right,1.250,1.250,1.250,1.500,UFA,,
Erik Condra,TBL,Right,1.250,1.250,1.250,1.500,UFA,,
Kyle Quincey,NJD,Defence,1.250,0.000,1.250,UFA,,,
Brandon Bollig,CGY,Left,1.250,0.000,1.300,UFA,,,
J.T. Brown,TBL,Right,1.250,1.250,1.250,1.250,UFA,,
Antoine Vermette,ARI,Center,1.250,1.250,1.250,1.250,,,
Brandon Bollig,CGY,Left,1.250,0.000,1.300,UFA,,,
Luke Schenn,ARI,Defence,1.250,1.250,1.000,1.500,UFA,,
Vernon Fiddler,NAS,Center,1.250,0.000,1.250,UFA,,,
P.A. Parenteau,NJD,Left,1.250,0.000,1.250,UFA,,,
Kyle Quincey,CLB,Defence,1.250,0.000,1.250,UFA,,,
P.A. Parenteau,NAS,Left,1.250,0.000,1.250,UFA,,,
Julien Gauthier,CAR,Right,1.225,1.225,0.925,0.925,0.925,RFA,
Kerby Rychel,TOR,Left,1.213,1.213,0.833,0.833,RFA,,
Jordan Schmaltz,STL,Defence,1.208,1.208,0.925,0.925,RFA,,
Fedor Tyutin,CLB,Defence,1.208,1.208,1.208,1.958,1.458,1.458,
Chris Thorburn,WPG,Center,1.200,0.000,1.200,UFA,,,
Matt Hunwick,TOR,Defence,1.200,0.000,1.200,UFA,,,
Jay McClement,CAR,Center,1.200,0.000,1.100,UFA,,,
Torrey Mitchell,MTL,Center,1.200,1.200,1.300,1.300,UFA,,
Anton Khudobin,BOS,Goaltender,1.200,1.200,1.200,1.200,UFA,,
Anton Khudobin,BOS,Goaltender,1.200,1.200,1.200,1.200,UFA,,
Phil Kessel,TOR,Right,1.200,1.200,1.200,1.200,1.200,1.200,1.200
Ben Bishop,TBL,Goaltender,1.190,0.000,1.190,,,,
Paul Byron,MTL,Center,1.167,1.167,1.300,1.200,1.000,UFA,
Dennis Seidenberg,BOS,Defence,1.167,1.167,1.167,2.167,1.167,1.167,
Michael Hutchinson,WPG,Goaltender,1.150,1.150,1.000,1.300,UFA,,
Zemgus Girgensons,BUF,Center,1.150,0.000,1.150,RFA,,,
Chris Stewart,MIN,Right,1.150,1.150,1.200,1.100,UFA,,
Logan Stanley,WPG,Defence,1.137,1.137,0.925,0.925,0.925,RFA,
Jon Merrill,NJD,Defence,1.137,1.137,1.000,1.275,RFA,,
Joonas Donskoi,SJS,Right,1.137,0.000,0.925,RFA,,,
Michal Kempny,CHI,Defence,1.137,0.000,0.700,RFA,,,
Jack Roslovic,WPG,Center,1.137,1.137,0.925,0.925,0.925,RFA,
Mark Pysyk,FLA,Defence,1.125,0.000,1.250,RFA,,,
Ryan Reaves,STL,Right,1.125,1.125,1.125,1.125,UFA,,
Carter Hutton,STL,Goaltender,1.125,1.125,1.250,1.000,UFA,,
Adam Lowry,WPG,Left,1.125,1.125,1.000,1.250,RFA,,
Rob Scuderi,CHI,Defence,1.125,0.000,1.125,,,,
Rob Scuderi,PIT,Defence,1.125,0.000,1.125,,,,
Rob Scuderi,LAK,Defence,1.125,0.000,2.500,UFA,,,
Tom Gilbert,WAS,Defence,1.120,0.000,1.400,UFA,,,
Tom Gilbert,WAS,Defence,1.120,0.000,1.400,UFA,,,
Joe Vitale,DET,Center,1.117,0.000,1.300,UFA,,,
Anthony Beauvillier,NYI,Left,1.107,1.107,0.925,0.925,0.833,RFA,
Christian Fischer,ARI,Right,1.107,1.107,0.818,0.907,0.833,RFA,
Henrik Samuelsson,EDM,Center,1.107,0.000,0.833,RFA,,,
Jared McCann,FLA,Center,1.107,1.107,0.925,0.833,RFA,,
Robby Fabbri,STL,Center,1.107,1.107,0.925,0.833,RFA,,
Travis Konecny,PHI,Center,1.107,1.107,0.925,0.925,0.833,RFA,
Joel Eriksson Ek,MIN,Center,1.107,1.107,0.925,0.925,0.833,RFA,
Nicholas Merkley,ARI,Center,1.107,1.107,0.925,0.925,0.833,RFA,
Evgeny Svechnikov,DET,Left,1.107,1.107,0.925,0.925,0.833,RFA,
Jacob Josefson,NJD,Center,1.100,0.000,1.100,RFA,,,
Jordie Benn,DAL,Defence,1.100,1.100,1.100,1.100,1.100,UFA,
Mark Borowiecki,OTT,Defence,1.100,1.100,1.100,1.000,UFA,,
Jordie Benn,MTL,Defence,1.100,1.100,1.100,1.100,1.100,UFA,
Brandon Pirri,NYR,Center,1.100,0.000,1.100,RFA,,,
Noah Juulsen,MTL,Defence,1.094,1.094,0.925,0.925,0.833,RFA,
Jakub Kindl,FLA,Defence,1.090,0.000,3.000,UFA,,,
Scott Laughton,PHI,Center,1.076,0.000,0.833,RFA,,,
Michael McCarron,MTL,Right,1.076,1.076,0.833,0.833,RFA,,
Joshua Ho-Sang,NYI,Center,1.076,1.076,0.925,0.833,0.833,RFA,
Nikolai Goldobin,SJS,Left,1.076,1.076,0.925,0.833,0.833,RFA,
Hunter Shinkaruk,CGY,Center,1.076,1.076,0.833,0.833,RFA,,
Nikolai Goldobin,VAN,Left,1.076,1.076,0.925,0.833,0.833,RFA,
Matt Benning,EDM,Defence,1.075,1.075,0.925,0.925,RFA,,
Stephen Weiss,DET,Center,1.067,1.067,1.067,2.567,1.667,1.667,1.667
Rocco Grimaldi,COL,Center,1.067,0.000,0.925,RFA,,,
Nikita Scherbak,MTL,Right,1.063,1.063,0.925,0.833,0.833,RFA,
Christian Dvorak,ARI,Left,1.052,1.052,0.792,0.892,0.833,RFA,
Robert Bortuzzo,STL,Defence,1.050,1.150,1.050,1.150,1.150,UFA,
Alex Petrovic,FLA,Defence,1.050,0.000,1.200,RFA,,,
Louis Domingue,ARI,Goaltender,1.050,1.050,1.000,1.100,RFA,,
Joel Edmundson,STL,Defence,1.050,1.050,0.900,1.200,RFA,,
David Rundblad,CHI,Defence,1.050,0.000,1.100,RFA,,,
Mason Raymond,CGY,Left,1.050,1.050,1.050,1.050,,,
Brendan Lemieux,WPG,Left,1.039,1.039,0.792,0.892,0.833,RFA,
Brendan Gaunce,VAN,Center,1.026,0.000,0.833,RFA,,,
Drew Miller,DET,Left,1.025,0.000,1.025,UFA,,,
Ian McCoshen,FLA,Defence,1.025,1.025,0.925,0.925,0.925,RFA,
Drew Miller,DET,Left,1.025,0.000,1.025,UFA,,,
Philip Larsen,VAN,Defence,1.025,0.000,1.025,UFA,,,
J.T. Compher,COL,Left,1.000,1.000,0.925,0.925,0.925,RFA,
Antti Raanta,NYR,Goaltender,1.000,1.000,1.000,1.000,UFA,,
Matt Cooke,MIN,Left,1.000,0.000,1.000,,,,
Dominic Moore,BOS,Center,1.000,0.000,0.900,UFA,,,
Matt Cullen,PIT,Center,1.000,0.000,1.000,UFA,,,
Calvin Pickard,COL,Goaltender,1.000,1.000,0.925,1.075,RFA,,
Nathan Beaulieu,MTL,Defence,1.000,0.000,1.000,RFA,,,
Ryan White,ARI,Center,1.000,0.000,1.000,UFA,,,
Dennis Seidenberg,NYI,Defence,1.000,0.000,1.000,UFA,,,
Dmitrij Jaskin,STL,Right,1.000,1.000,1.000,1.000,RFA,,
Erik Haula,MIN,Left,1.000,0.000,1.050,RFA,,,
Patrick Eaves,DAL,Right,1.000,0.000,1.000,UFA,,,
Lauri Korpikoski,DAL,Left,1.000,0.000,1.000,UFA,,,
Colin Miller,BOS,Defence,1.000,1.000,0.900,1.100,RFA,,
William Karlsson,CLB,Center,1.000,1.000,1.000,1.000,RFA,,
Patrick Eaves,ANA,Right,1.000,0.000,1.000,UFA,,,
Kevin Connauton,ARI,Defence,1.000,1.000,0.950,1.050,UFA,,
Anders Nilsson,BUF,Goaltender,1.000,0.000,1.000,UFA,,,
Ryan White,MIN,Center,1.000,0.000,1.000,UFA,,,
Mike Weber,MIN,Defence,1.000,0.000,1.000,UFA,,,
Lauri Korpikoski,CLB,Left,1.000,0.000,1.000,UFA,,,
Danton Heinen,BOS,Center,0.996,0.996,0.767,0.925,0.925,RFA,
Anton Lander,EDM,Center,0.988,0.000,1.050,RFA,,,
Anton Lander,EDM,Center,0.988,0.000,1.050,RFA,,,
Brandon Manning,PHI,Defence,0.975,0.975,0.950,1.000,UFA,,
Devon Toews,NYI,Defence,0.963,0.963,0.925,0.925,RFA,,
Kyle Brodziak,STL,Center,0.950,0.950,1.000,0.900,UFA,,
Boyd Gordon,PHI,Right,0.950,0.000,0.950,UFA,,,
Al Montoya,MTL,Goaltender,0.950,1.062,0.950,1.000,1.125,UFA,
Colton Sceviour,FLA,Center,0.950,0.950,0.950,0.950,UFA,,
Ryan Spooner,BOS,Center,0.950,0.000,1.100,RFA,,,
Jordan Nolan,LAK,Center,0.950,0.950,1.000,1.000,UFA,,
