player,pos,team,salary,caphit
Patrick Roy,G,MTL,2659300,
Vincent Damphousse,C,MTL,759800,
Brian Bellows,LW,MTL,740805,
Kirk Muller,LW,MTL,664825,
Guy Carbonneau,C,MTL,569850,
Ron Tugnutt,G,MTL,525000,
Stéphan Lebeau,C,MTL,493870,
Eric Desjardins,D,MTL,455880,
Kevin Haller,D,MTL,417890,
Gary Leeman,LW,MTL,417890,
Jean-Jacques Daigneault,D,MTL,322915,
Lyle Odelein,D,MTL,322915,
Rob Ramage,D,MTL,303920,
Benoit Brunet,LW,MTL,277327,
Donald Brashear,LW,MTL,275000,
Patrice Brisebois,D,MTL,265930,
Gilbert Dionne,LW,MTL,265930,
Paul DiPietro,C,MTL,265930,
Mike Keane,RW,MTL,265930,
Peter Popovic,D,MTL,227940,
Mario Roberge,C,MTL,227940,
Ron Wilson,C,MTL,208945,
Ed Ronan,RW,MTL,182352,
John LeClair,LW,MTL,170955,
André Racicot,G,MTL,170955,
Pierre Sévigny,C,MTL,170955,
Raymond Bourque,D,BOS,2500000,
Adam Oates,C,BOS,1330000,
Jon Casey,G,BOS,1100000,
Cam Neely,LW,BOS,1000000,
Al Iafrate,D,BOS,900000,
Glen Wesley,D,BOS,725000,
Steve Leach,RW,BOS,662500,
Vincent Riendeau,G,BOS,450000,
David Shaw,D,BOS,450000,
Don Sweeney,D,BOS,450000,
Dmitri Kvartalnov,RW,BOS,400000,
Dave Reid,LW,BOS,400000,
Daniel Marois,RW,BOS,375000,
Glen Featherstone,D,BOS,373500,
John Blue,G,BOS,325000,
Paul Stanton,D,BOS,325000,
Cam Stewart,LW,BOS,325000,
Gordie Roberts,D,BOS,300000,
Joé Juneau,C,BOS,250000,
Steve Heinze,RW,BOS,237500,
Brent Hughes,LW,BOS,225000,
Glen Murray,RW,BOS,225000,
Bryan Smolinski,C,BOS,225000,
Sergei Zholtok,C,BOS,205000,
Jozef Stumpel,C,BOS,185000,
Andrew McKim,C,BOS,175000,
Ted Donato,LW,BOS,170000,
Alexandre Daigle,RW,OTT,1975000,
Steve Konroyd,D,OTT,700000,
Alexei Yashin,C,OTT,650000,
Troy Murray,C,OTT,500000,
Phil Bourque,D,OTT,450000,
Norm Maciver,D,OTT,436885,
Kerry Huffman,D,OTT,400000,
Brad Shaw,D,OTT,360905,
Sylvain Turgeon,LW,OTT,341910,
Mark Lamb,C,OTT,322915,
Vladimir Ruzicka,C,OTT,322915,
Bob Kudelski,C,OTT,303920,
Claude Boivin,LW,OTT,270000,
