player,pos,salary,caphit
Patrick Kane,RW,6800000,10500000
Jonathan Toews,C,6800000,10500000
Alexander Ovechkin,LW,10000000,9538462
Evgeni Malkin,C,9500000,9500000
P.K. Subban,D,2500000,9000000
Sidney Crosby,C,12000000,8700000
Corey Perry,RW,5000000,8625000
Henrik Lundqvist,G,9000000,8500000
Claude Giroux,C,9000000,8275000
Eric Staal,C,9500000,8250000
Ryan Getzlaf,C,9250000,8250000
Phil Kessel,RW,6000000,8000000
Shea Weber,D,1000000,7857143
Rick Nash,LW,7900000,7800000
Zach Parise,LW,9000000,7538462
Ryan Suter,D,9000000,7538462
Vladimir Tarasenko,RW,8000000,7500000
Jason Spezza,C,7500000,7500000
Steven Stamkos,C,5500000,7500000
Pavel Datsyuk,C,5000000,7500000
Sergei Bobrovsky,G,8500000,7425000
David Krejci,C,7250000,7250000
Kristopher Letang,D,7250000,7250000
Bobby Ryan,RW,4500000,7250000
Brian Campbell,D,7142857,7142857
Tuukka Rask,G,7500000,7000000
Drew Doughty,D,7100000,7000000
Pekka Rinne,G,7000000,7000000
Daniel Sedin,LW,7000000,7000000
Henrik Sedin,C,7000000,7000000
Paul Stastny,C,7000000,7000000
Dion Phaneuf,D,6000000,7000000
Zdeno Chara,D,7000000,6916667
Patrice Bergeron,C,8750000,6875000
Anze Kopitar,C,7700000,6800000
Joe Thornton,C,6750000,6750000
Mikko Koivu,C,5400000,6750000
Nicklas Backstrom,C,6500000,6700000
Patrick Marleau,C,6500000,6666667
Erik Karlsson,D,7000000,6500000
Carey Price,G,7000000,6500000
Alex Pietrangelo,D,6500000,6500000
Derek Stepan,C,6500000,6500000
Thomas Vanek,LW,6500000,6500000
Cam Ward,G,6800000,6300000
Braden Holtby,G,6500000,6100000
Henrik Zetterberg,LW,7500000,6083333
Milan Lucic,LW,6500000,6000000
Ryan O'Reilly,C,6200000,6000000
Logan Couture,C,6000000,6000000
Matt Duchene,C,6000000,6000000
Jordan Eberle,RW,6000000,6000000
Mike Green,D,6000000,6000000
Taylor Hall,LW,6000000,6000000
Ryan Nugent-Hopkins,C,6000000,6000000
Joe Pavelski,C,6000000,6000000
Cory Schneider,G,6000000,6000000
