player,pos,salary,caphit
Auston Matthews,C,13250000,13250000
Nathan MacKinnon,C,775000,12600000
Connor McDavid,C,10000000,12500000
Artemi Panarin,LW,1000000,11642857
Elias Pettersson,C,2500000,11600000
Erik Karlsson,D,10000000,11500000
William Nylander,RW,3500000,11500000
David Pastrnak,RW,8500000,11250000
Drew Doughty,D,11000000,11000000
Rasmus Dahlin,D,8000000,11000000
John Tavares,C,910000,11000000
Mitch Marner,RW,750000,10903000
Carey Price,G,10500000,10500000
Jonathan Huberdeau,LW,3500000,10500000
Sergei Bobrovsky,G,10000000,10000000
Jack Eichel,C,10000000,10000000
Aleksander Barkov,C,1000000,10000000
Tyler Seguin,C,2750000,9850000
Sebastian Aho,C,10000000,9750000
Johnny Gaudreau,LW,7750000,9750000
Zachary Werenski,D,9500000,9583333
Jamie Benn,LW,9500000,9500000
Adam Fox,D,9500000,9500000
Charlie McAvoy,D,8500000,9500000
Seth Jones,D,7500000,9500000
Mark Stone,RW,6000000,9500000
Andrei Vasilevskiy,G,5500000,9500000
Nikita Kucherov,RW,5000000,9500000
Alexander Ovechkin,LW,5000000,9500000
Brayden Point,C,5000000,9500000
Matthew Tkachuk,LW,1000000,9500000
Darnell Nurse,D,12000000,9250000
Mikko Rantanen,RW,6000000,9250000
Nicklas Backstrom,C,2000000,9200000
Mathew Barzal,C,9150000,9150000
Roman Josi,D,9000000,9059000
Cale Makar,D,10600000,9000000
Dougie Hamilton,D,10000000,9000000
Kirill Kaprizov,C,10000000,9000000
Jake Guentzel,LW,1000000,9000000
Timo Meier,RW,5350000,8800000
Alex Pietrangelo,D,4500000,8800000
Dylan Larkin,C,11000000,8700000
Patrik Laine,RW,7100000,8700000
Sidney Crosby,C,3000000,8700000
Sam Reinhart,C,8625000,8625000
Moritz Seider,D,8550000,8550000
Filip Forsberg,LW,10000000,8500000
Leon Draisaitl,C,8500000,8500000
Bo Horvat,C,8500000,8500000
Mark Scheifele,C,8500000,8500000
Pierre-Luc Dubois,C,8000000,8500000
Mikhail Sergachev,D,5050000,8500000
Connor Hellebuyck,G,5000000,8500000
Mika Zibanejad,C,1000000,8500000
Miro Heiskanen,D,11000000,8450000
Roope Hintz,LW,8250000,8450000
Tim Stutzle,C,6500000,8350000
Owen Power,D,6350000,8350000
Ilya Sorokin,G,8250000,8250000
Jeremy Swayman,G,6000000,8250000
Brady Tkachuk,LW,10500000,8205714
Tomas Hertl,C,7750000,8137500
Jordan Kyrou,C,10900000,8125000
Robert Thomas,C,10900000,8125000
Lucas Raymond,C,8075000,8075000
Jake Sanderson,D,8050000,8050000
Thomas Chabot,D,10000000,8000000
Jack Hughes,C,8500000,8000000
J.T. Miller,C,8000000,8000000
Steven Stamkos,C,8000000,8000000
Logan Couture,C,7000000,8000000
Jacob Trouba,D,6000000,8000000
John Carlson,D,4000000,8000000
Brent Burns,D,3000000,8000000
Josh Norris,C,9500000,7950000
Nick Suzuki,C,10000000,7875000
Alex DeBrincat,LW,8250000,7875000
Kevin Fiala,LW,7875000,7875000
Victor Hedman,D,7000000,7875000
Jesper Bratt,LW,4000000,7875000
Shea Weber,D,1000000,7857143
Quinn Hughes,D,7850000,7850000
Cole Caufield,RW,4975000,7850000
Evgeny Kuznetsov,C,7800000,7800000
Jason Robertson,LW,9200000,7750000
Andrei Svechnikov,RW,9000000,7750000
Elias Lindholm,C,7750000,7750000
Dmitry Orlov,D,7750000,7750000
Sean Couturier,C,4000000,7750000
Jared Spurgeon,D,7575000,7575000
Morgan Rielly,D,10000000,7500000
Aaron Ekblad,D,7500000,7500000
Seth Jarvis,C,7420087,7420087
Vince Dunn,D,8000000,7350000
Noah Hanifin,D,1000000,7350000
Nico Hischier,C,7750000,7250000
Devon Toews,D,7250000,7250000
Filip Hronek,D,5500000,7250000
Clayton Keller,RW,7000000,7150000
Kyle Connor,LW,7500000,7142857
Tage Thompson,RW,7142857,7142857
Brandon Montour,D,3000000,7142857
Matthew Beniers,C,2150000,7142857
Kevin Hayes,RW,7142587,7142587
Dylan Cozens,C,7100000,7100000
Matthew Boldy,LW,9700000,7000000
Gabriel Landeskog,LW,9000000,7000000
Brady Skjei,D,7000000,7000000
Troy Terry,C,7000000,7000000
Marc-Edouard Vlasic,D,7000000,7000000
Anders Lee,LW,5850000,7000000
Nazem Kadri,C,4500000,7000000
Anze Kopitar,C,775000,7000000
Ryan McDonagh,D,6930000,6750000
Ivan Provorov,D,6750000,6750000
Brock Boeser,RW,6650000,6650000
Brendan Gallagher,RW,9000000,6500000
Torey Krug,D,8500000,6500000
Colton Parayko,D,8000000,6500000
Brayden Schenn,C,8000000,6500000
Cam Fowler,D,7500000,6500000
Chris Kreider,LW,6500000,6500000
Hampus Lindholm,D,6000000,6500000
Claude Giroux,C,5500000,6500000
Justin Faulk,D,4750000,6500000
Tom Wilson,RW,4000000,6500000
Martin Necas,C,3000000,6500000
Brandon Hagel,LW,1820000,6500000
John Gibson,G,6400000,6400000
Mattias Ekholm,D,6500000,6250000
Ryan Ellis,D,6500000,6250000
Josh Morrissey,D,6400000,6250000
Alexander Killorn,LW,6250000,6250000
Chandler Stephenson,C,6250000,6250000
Damon Severson,D,6000000,6250000
Travis Sanheim,D,5125000,6250000
Mackenzie Weegar,D,4250000,6250000
Jeff Petry,D,3000000,6250000
Anthony Cirelli,C,1625000,6250000
Quinton Byfield,C,775000,6250000
Owen Tippett,RW,6200000,6200000
Ryan Pulock,D,6150000,6150000
Valeri Nichushkin,RW,8000000,6125000
Brad Marchand,LW,4000000,6125000
