player,pos,team,salary,caphit
Patrick Roy,G,MTL,1433215,
Pierre Turgeon,C,MTL,1305000,
Mark Recchi,RW,MTL,1073000,
Vincent Damphousse,C,MTL,1028050,
Kirk Muller,LW,MTL,986000,
Vladimir Malakhov,D,MTL,638000,
Brian Bellows,LW,MTL,565500,
Eric Desjardins,D,MTL,507500,
Yves Racine,D,MTL,391500,
Mike Keane,RW,MTL,308415,
Ron Tugnutt,G,MTL,304500,
Mathieu Schneider,D,MTL,269700,
Jean-Jacques Daigneault,D,MTL,246732,
Gilbert Dionne,LW,MTL,232000,
Mark Lamb,C,MTL,230925,
Lyle Odelein,D,MTL,195330,
Brian Savage,LW,MTL,174000,
Patrice Brisebois,D,MTL,164488,
Valeri Bure,RW,MTL,164488,
Benoit Brunet,LW,MTL,154208,
Paul DiPietro,C,MTL,154208,
Bryan Fogarty,D,MTL,145000,
Pierre Sévigny,C,MTL,143927,
Craig Rivet,D,MTL,133647,
Mario Roberge,C,MTL,133647,
Turner Stevenson,RW,MTL,133647,
Craig Darby,C,MTL,116000,
Ed Ronan,RW,MTL,102805,
David Wilkie,D,MTL,92525,
Peter Popovic,D,MTL,82244,
Raymond Bourque,D,BOS,1451740,
Adam Oates,C,BOS,669900,
Cam Neely,LW,BOS,667000,
Steve Leach,RW,BOS,391500,
Alexei Kasatonov,D,BOS,377000,
David Shaw,D,BOS,290000,
Don Sweeney,D,BOS,290000,
Dave Reid,LW,BOS,246500,
Mariusz Czerkawski,RW,BOS,232000,
Blain Lacher,G,BOS,217500,
Brent Hughes,LW,BOS,188500,
Mats Naslund,LW,BOS,188500,
Craig Billington,G,BOS,174000,
Jamie Huscroft,D,BOS,159500,
Sandy Moger,RW,BOS,145000,
John Gruden,D,BOS,130500,
Steve Heinze,RW,BOS,116000,
Daniel Lacroix,LW,BOS,116000,
Jon Rohloff,D,BOS,116000,
Bryan Smolinski,C,BOS,116000,
Jozef Stumpel,C,BOS,116000,
Fred Knipscheer,C,BOS,104400,
Glen Murray,RW,BOS,104400,
Ted Donato,LW,BOS,101500,
Alexandre Daigle,RW,OTT,688794,
Don Beaupre,G,OTT,536500,
Radek Bonk,C,OTT,390659,
Alexei Yashin,C,OTT,382800,
Norm Maciver,D,OTT,377000,
Troy Murray,C,OTT,290000,
Phil Bourque,D,OTT,275500,
Pat Elynuik,RW,OTT,248274,
Kerry Huffman,D,OTT,232000,
Chris Dahlquist,D,OTT,226288,
Martin Straka,C,OTT,203000,
Dave McLlwain,C,OTT,185049,
Jim Paek,D,OTT,182700,
Randy Cunneyworth,LW,OTT,174769,
Sylvain Turgeon,LW,OTT,174769,
Craig Billington,G,OTT,174000,
Sean Hill,D,OTT,174000,
Stanislav Neckar,D,OTT,154208,
Troy Mallette,LW,OTT,148862,
Rob Gaudreau,RW,OTT,136300,
Denis Vial,D,OTT,133647,
Dave Archibald,RW,OTT,116000,
Steve Larouche,C,OTT,92525,
Scot Levins,RW,OTT,92525,
Bill Huard,LW,OTT,82244,
Doug Gilmour,C,TOR,1233660,
Dave Andreychuk,LW,TOR,1218000,
Mats Sundin,C,TOR,945806,
Mike Gartner,RW,TOR,870000,
Benoit Hogue,LW,TOR,667000,
Mike Ridley,C,TOR,638000,
Félix Potvin,G,TOR,575708,
Garth Butcher,D,TOR,435000,
Dave Ellett,D,TOR,411220,
Mike Craig,RW,TOR,406000,
Jamie Macoun,D,TOR,399040,
Kenny Jonsson,D,TOR,370098,
Randy Wood,LW,TOR,333500,
Warren Rychel,LW,TOR,319000,
Todd Gill,D,TOR,298135,
Ken Baumgartner,RW,TOR,261000,
Tie Domi,RW,TOR,232000,
Rich Sutter,RW,TOR,203000,
Grant Jennings,D,TOR,191835,
Drake Berehowsky,D,TOR,188500,
Kent Manderville,C,TOR,174769,
Dmitri Mironov,D,TOR,166030,
Nikolai Borschevsky,RW,TOR,160376,
Paul DiPietro,C,TOR,154208,
Bill Berg,C,TOR,148039,
Darby Hendrickson,C,TOR,133647,
Matt Martin,D,TOR,133647,
Mike Eastwood,C,TOR,123366,
Damian Rhodes,G,TOR,123366,
Pat Lafontaine,C,BUF,2067001,
Alexander Mogilny,RW,BUF,1450000,
Dominik Hasek,G,BUF,1247000,
Grant Fuhr,G,BUF,1009200,
Dale Hawerchuk,C,BUF,768500,
Brad May,LW,BUF,667000,
Garry Galley,D,BUF,522000,
Craig Simpson,LW,BUF,522000,
Doug Bodger,D,BUF,510400,
Craig Muni,D,BUF,333155,
Charlie Huddy,D,BUF,319000,
Robb Stauber,G,BUF,304500,
Bob Sweeney,C,BUF,290000,
Alexei Zhitnik,D,BUF,261000,
Doug Houda,D,BUF,237800,
Wayne Presley,RW,BUF,237800,
Donald Audette,RW,BUF,232000,
Yuri Khmylev,LW,BUF,232000,
Ken Sutton,D,BUF,232000,
Denis Tsygurov,D,BUF,232000,
Rob Ray,RW,BUF,203000,
Derek Plante,C,BUF,194300,
Dave Hannan,LW,BUF,188500,
Scott Pearson,LW,BUF,185600,
Richard Smehlik,D,BUF,174000,
Matthew Barnaby,RW,BUF,159500,
Jason Dawe,RW,BUF,136300,
Philippe Boucher,D,BUF,130500,
Scott Stevens,D,NJD,3364000,
John MacLean,RW,NJD,960298,
Ken Daneyko,D,NJD,573493,
Stéphane Richer,RW,NJD,529305,
Claude Lemieux,RW,NJD,478500,
Alexander Semak,C,NJD,406000,
Neal Broten,C,NJD,396141,
Bruce Driver,D,NJD,377000,
Randy McKay,RW,NJD,377000,
Chris Terreri,G,NJD,348000,
Viacheslav Fetisov,D,NJD,315330,
Shawn Chambers,D,NJD,304500,
Corey Millen,C,NJD,303801,
Tom Chorske,LW,NJD,283796,
Bobby Holik,C,NJD,281676,
Valeri Zelepukin,LW,NJD,261000,
Chris McAlpine,D,NJD,232000,
Mike Peluso,D,NJD,230550,
Ben Hankinson,RW,NJD,211700,
Jim Dowd,C,NJD,203000,
Danton Cole,RW,NJD,188500,
Brian Rolston,LW,NJD,188500,
Tommy Albelin,D,NJD,174000,
Bobby Carpenter,C,NJD,174000,
David Emma,RW,NJD,159500,
Scott Niedermayer,D,NJD,159500,
Sergei Brylin,C,NJD,145000,
Martin Brodeur,G,NJD,140000,
Bill Guerin,RW,NJD,124700,
Kevin Dean,D,NJD,113100,
Pierre Turgeon,C,NYI,1305000,
Kirk Muller,LW,NYI,986000,
Benoit Hogue,LW,NYI,667000,
Vladimir Malakhov,D,NYI,638000,
Steve Thomas,LW,NYI,508660,
Derek King,LW,NYI,458200,
Brett Lindros,RW,NYI,440800,
Ray Ferraro,C,NYI,391500,
Pat Flatley,RW,NYI,377000,
Tommy Soderstrom,G,NYI,333500,
Ron Sutter,C,NYI,290000,
Darius Kasparaitis,D,NYI,275500,
Mathieu Schneider,D,NYI,269700,
Bob Beers,D,NYI,232000,
Brad Dalgarno,RW,NYI,232000,
Rich Pilon,D,NYI,232000,
Travis Green,C,NYI,217500,
Tommy Salo,G,NYI,217500,
Troy Loney,LW,NYI,214600,
Brent Severyn,D,NYI,203000,
Zigmund Palffy,RW,NYI,188500,
Mick Vukota,RW,NYI,179800,
Dean Chynoweth,D,NYI,174000,
Dennis Vaske,D,NYI,174000,
Scott Lachance,D,NYI,160950,
Marty McInnis,LW,NYI,121800,
Craig Darby,C,NYI,116000,
Chris Luongo,D,NYI,110200,
Chris Taylor,C,NYI,104400,
Mark Messier,C,NYR,3650000,
Mike Richter,G,NYR,1450000,
Brian Leetch,D,NYR,1239750,
Adam Graves,LW,NYR,1044000,
Steve Larmer,RW,NYR,696000,
Pat Verbeek,RW,NYR,667000,
Petr Nedved,C,NYR,638000,
Kevin Lowe,D,NYR,580000,
Glenn Healy,G,NYR,522000,
Jeff Beukeboom,D,NYR,435000,
Ed Olczyk,C,NYR,377000,
Sergei Nemchinov,C,NYR,348000,
Mike Hartman,LW,NYR,340000,
Nick Kypreos,LW,NYR,304500,
Joey Kocur,D,NYR,261000,
Alexei Kovalev,RW,NYR,261000,
Stéphane Matteau,LW,NYR,261000,
Jay Wells,D,NYR,261000,
Mark Osborne,LW,NYR,246500,
Brian Noonan,RW,NYR,232000,
Glen Featherstone,D,NYR,216630,
Troy Loney,LW,NYR,214600,
Alexander Karpovtsev,D,NYR,188500,
Sergei Zubov,D,NYR,159500,
