player,pos,team,salary,caphit
Chris Chelios,D,MTL,496398,
Bobby Smith,C,MTL,332371,
Mats Naslund,LW,MTL,328054,
Guy Carbonneau,C,MTL,310788,
Claude Lemieux,RW,MTL,258990,
Craig Ludwig,D,MTL,258990,
Mike McPhee,RW,MTL,258990,
Patrick Roy,G,MTL,258990,
Russ Courtnall,RW,MTL,241724,
Stéphane Richer,RW,MTL,237408,
Ryan Walter,C,MTL,224458,
Shayne Corson,LW,MTL,207192,
Brian Hayward,G,MTL,198559,
Brian Skrudland,C,MTL,176977,
Jocelyn Lemieux,LW,MTL,130000,
Jirky Lumme,D,MTL,129495,
Brent Gilchrist,C,MTL,120862,
Todd Ewen,RW,MTL,120000,
Eric Desjardins,D,MTL,112229,
Mike Keane,RW,MTL,112229,
Stéphan Lebeau,C,MTL,112229,
Sylvain Lefebvre,D,MTL,112229,
Mathieu Schneider,D,MTL,94963,
Raymond Bourque,D,BOS,500000,
Cam Neely,LW,BOS,325000,
Bobby Carpenter,C,BOS,270000,
Andy Moog,G,BOS,270000,
Dave Poulin,C,BOS,250000,
Brian Propp,LW,BOS,250000,
Gord Kluzak,D,BOS,230000,
Dave Christian,RW,BOS,220000,
Michael Thelven,D,BOS,210000,
Randy Burridge,LW,BOS,200000,
Garry Galley,D,BOS,185000,
Andy Brickley,LW,BOS,175000,
Brian Lawton,LW,BOS,172500,
Bob Sweeney,C,BOS,165000,
Craig Janney,C,BOS,150000,
Nevin Markwart,C,BOS,149000,
Lyndon Byers,LW,BOS,130000,
Glen Wesley,D,BOS,130000,
Jim Wiemer,D,BOS,130000,
Bob Gould,C,BOS,120000,
Bob Joyce,LW,BOS,120000,
Greg Hawgood,D,BOS,110000,
Don Sweeney,D,BOS,110000,
Robert Cimetta,LW,BOS,100000,
Gary Leeman,LW,TOR,302155,
Rob Ramage,D,TOR,300000,
Ed Olczyk,C,TOR,275000,
Wendel Clark,LW,TOR,228775,
Brad Marsh,D,TOR,210000,
Mark Osborne,LW,TOR,210000,
Tom Fergus,C,TOR,195000,
Vincent Damphousse,C,TOR,185610,
Allan Bester,G,TOR,172660,
Al Iafrate,D,TOR,170502,
Brian Curran,D,TOR,170000,
Lou Franceschetti,RW,TOR,146761,
Tom Kurvers,D,TOR,145000,
Dave Hannan,LW,TOR,140000,
Todd Gill,D,TOR,138128,
Mark LaForest,G,TOR,135000,
Daniel Daoust,C,TOR,131222,
Gilles Thibaudeau,C,TOR,130000,
Dave Reid,LW,TOR,129495,
John Kordic,D,TOR,125179,
Jeff Reese,G,TOR,116546,
Luke Richardson,D,TOR,99280,
Scott Pearson,LW,TOR,90647,
Daniel Marois,RW,TOR,86330,
John McIntyre,C,TOR,86330,
Rick Vaive,RW,BUF,325000,
Christian Ruuttu,C,BUF,245000,
Jay Wells,D,BUF,230000,
Larry Playfair,D,BUF,225000,
Dave Andreychuk,LW,BUF,200000,
Clint Malarchuk,G,BUF,200000,
John Tucker,C,BUF,200000,
Phil Housley,D,BUF,186000,
