player,pos,team,salary,caphit
Vincent Damphousse,C,MTL,3275000,
Mark Recchi,RW,MTL,2750000,
Andy Moog,G,MTL,2500000,
Stéphane Richer,RW,MTL,1891000,
Vladimir Malakhov,D,MTL,1600000,
Zarley Zalapski,D,MTL,1600000,
Dave Manson,D,MTL,1550000,
Jocelyn Thibault,G,MTL,1500000,
Martin Rucinsky,LW,MTL,1400000,
Shayne Corson,LW,MTL,1145000,
Brian Savage,LW,MTL,1000000,
Patrice Brisebois,D,MTL,950000,
Peter Popovic,D,MTL,900000,
Stéphane Quintal,D,MTL,900000,
Igor Ulanov,D,MTL,875000,
Saku Koivu,C,MTL,750000,
Valeri Bure,RW,MTL,725000,
Scott Thornton,C,MTL,680000,
Patrick Poulin,LW,MTL,625000,
Benoit Brunet,LW,MTL,615000,
Turner Stevenson,RW,MTL,600000,
Jonas Hoglund,LW,MTL,500000,
Mick Vukota,RW,MTL,500000,
Marc Bureau,C,MTL,475000,
Jassen Cullimore,D,MTL,450000,
Craig Rivet,D,MTL,450000,
David Wilkie,D,MTL,450000,
Brett Clark,D,MTL,375000,
Sébastien Bordeleau,C,MTL,350000,
Jeremy Stevenson,LW,MTL,325000,
François Groleau,D,MTL,209820,
Darcy Tucker,C,MTL,209820,
Éric Houde,C,MTL,174850,
Raymond Bourque,D,BOS,3437000,
Jim Carey,G,BOS,2200000,
Dave Ellett,D,BOS,1400000,
Don Sweeney,D,BOS,1100000,
Dmitri Khristich,RW,BOS,1000000,
Ted Donato,LW,BOS,963000,
Sergei Samsonov,LW,BOS,925000,
Joe Thornton,C,BOS,925000,
Byron Dafoe,G,BOS,750000,
Grant Ledyard,D,BOS,750000,
Kyle McLaren,D,BOS,750000,
Steve Heinze,RW,BOS,650000,
Ken Baumgartner,RW,BOS,625000,
Jason Allison,C,BOS,600000,
Shawn Bates,C,BOS,585000,
Mike Sullivan,C,BOS,550000,
Mattias Timander,D,BOS,525000,
Dean Chynoweth,D,BOS,480000,
P.J. Axelsson,LW,BOS,425000,
Rob DiMaio,RW,BOS,425000,
Tim Taylor,C,BOS,425000,
Robert Lang,C,BOS,400000,
Dean Malkoc,D,BOS,400000,
Hal Gill,D,BOS,385000,
Darren Van Impe,D,BOS,375000,
Anson Carter,C,BOS,350000,
Landon Wilson,RW,BOS,314730,
Alexei Yashin,C,OTT,2900000,
Daniel Alfredsson,RW,OTT,2250000,
Alexandre Daigle,RW,OTT,1853410,
Pat Falloon,RW,OTT,1200000,
Igor Kravchuk,D,OTT,1050000,
Radek Bonk,C,OTT,1031615,
Chris Phillips,D,OTT,875000,
Shawn McEachern,LW,OTT,850000,
Wade Redden,D,OTT,850000,
Marian Hossa,RW,OTT,800000,
Sean Hill,D,OTT,675000,
Janne Laukkanen,D,OTT,675000,
Stanislav Neckar,D,OTT,650000,
Jason York,D,OTT,650000,
Randy Cunneyworth,LW,OTT,550000,
Shaun Van Allen,C,OTT,450000,
Denis Vial,D,OTT,450000,
Per Gustafsson,D,OTT,425000,
Magnus Arvedson,LW,OTT,400000,
Ron Tugnutt,G,OTT,384670,
Lance Pitlick,D,OTT,332215,
Vaclav Prospal,LW,OTT,300000,
Denny Lambert,LW,OTT,227305,
Sergei Zholtok,C,OTT,227305,
Andreas Dackell,RW,OTT,223808,
Chris Murray,RW,OTT,185341,
Félix Potvin,G,TOR,2500000,
Mathieu Schneider,D,TOR,2500000,
Wendel Clark,LW,TOR,2300000,
Jeff Brown,D,TOR,2100000,
Mats Sundin,C,TOR,1678560,
Sylvain Côté,D,TOR,1500000,
Derek King,LW,TOR,1450000,
Glenn Healy,G,TOR,1200000,
Jamie Macoun,D,TOR,1100000,
Craig Wolanin,D,TOR,1000000,
Dmitri Yushkevich,D,TOR,925000,
Kevyn Adams,C,TOR,850000,
Tie Domi,RW,TOR,829000,
Sergei Berezin,LW,TOR,800000,
Mike Johnson,RW,TOR,800000,
Alyn McCauley,C,TOR,800000,
Martin Prochazka,RW,TOR,750000,
Kris King,LW,TOR,729000,
Igor Korolev,C,TOR,475000,
Per Gustafsson,D,TOR,425000,
Todd Warriner,LW,TOR,402155,
Darby Hendrickson,C,TOR,400000,
Jason Smith,D,TOR,400000,
Rob Zettler,D,TOR,400000,
Fredrik Modin,LW,TOR,384670,
Steve Sullivan,C,TOR,350000,
Lonny Bohonos,C,TOR,279760,
David Cooper,D,TOR,279760,
Dominik Hasek,G,BUF,4000000,
Brad May,LW,BUF,1500000,
Geoff Sanderson,LW,BUF,1500000,
Alexei Zhitnik,D,BUF,1500000,
Derek Plante,C,BUF,950000,
Donald Audette,RW,BUF,900000,
Erik Rasmussen,C,BUF,875000,
Jay McKee,D,BUF,850000,
Richard Smehlik,D,BUF,850000,
Randy Burridge,LW,BUF,813000,
Jason Dawe,RW,BUF,700000,
Darryl Shannon,D,BUF,700000,
Wayne Primeau,C,BUF,675000,
Matthew Barnaby,RW,BUF,625000,
Curtis Brown,LW,BUF,600000,
Miroslav Satan,LW,BUF,600000,
Michal Grosek,RW,BUF,538000,
Rob Ray,RW,BUF,525000,
Dixon Ward,RW,BUF,475000,
Jason Woolley,D,BUF,440000,
Bob Boughner,D,BUF,425000,
Steve Shields,G,BUF,400000,
Paul Kruse,LW,BUF,349700,
Mike Wilson,D,BUF,332215,
Brian Holzinger,C,BUF,325000,
Mike Hurlbut,D,BUF,325000,
Scott Nichol,C,BUF,250000,
Scott Stevens,D,NJD,4313000,
Doug Gilmour,C,NJD,3550000,
Dave Andreychuk,LW,NJD,2600000,
Martin Brodeur,G,NJD,2025000,
Jason Arnott,C,NJD,1800000,
John MacLean,RW,NJD,1656000,
Steve Thomas,LW,NJD,1638000,
Lyle Odelein,D,NJD,1600000,
Scott Niedermayer,D,NJD,1500000,
Doug Bodger,D,NJD,1300000,
Ken Daneyko,D,NJD,1276000,
Bobby Carpenter,C,NJD,969000,
Randy McKay,RW,NJD,825000,
Bobby Holik,C,NJD,741000,
Valeri Zelepukin,LW,NJD,741000,
Brian Rolston,LW,NJD,725000,
Denis Pederson,C,NJD,625000,
Scott Daniels,LW,NJD,575000,
Petr Sykora,C,NJD,500000,
Mike Dunham,G,NJD,450000,
Kevin Dean,D,NJD,425000,
Reid Simpson,LW,NJD,400000,
Jay Pandolfo,LW,NJD,385000,
Vlastimil Kroupa,D,NJD,375000,
Brad Bombardir,D,NJD,350000,
Patrik Elias,LW,NJD,350000,
Sergei Brylin,C,NJD,325000,
Krzysztof Oliwa,LW,NJD,325000,
Sheldon Souray,D,NJD,325000,
Trevor Linden,C,NYI,2500000,
Zigmund Palffy,RW,NYI,1725000,
Robert Reichel,C,NYI,1700000,
Sergei Nemchinov,C,NYI,1600000,
Bryan Smolinski,C,NYI,1394000,
Travis Green,C,NYI,1350000,
Todd Bertuzzi,LW,NYI,1225000,
Bryan Berard,D,NYI,850000,
Kenny Jonsson,D,NYI,800000,
Scott Lachance,D,NYI,800000,
Tommy Salo,G,NYI,750000,
Mariusz Czerkawski,RW,NYI,700000,
Jason Dawe,RW,NYI,700000,
Mike Hough,RW,NYI,700000,
Jean-Jacques Daigneault,D,NYI,650000,
Tom Chorske,LW,NYI,600000,
Dennis Vaske,D,NYI,600000,
Rich Pilon,D,NYI,550000,
Joe Sacco,RW,NYI,500000,
Claude Lapointe,C,NYI,475000,
Warren Luhning,RW,NYI,450000,
Bryan McCabe,D,NYI,450000,
Ken Belanger,LW,NYI,375000,
Paul Kruse,LW,NYI,349700,
Éric Fichaud,G,NYI,314730,
Doug Houda,D,NYI,250000,
Wayne Gretzky,C,NYR,6500000,
Pat Lafontaine,C,NYR,4800000,
Mike Richter,G,NYR,3900000,
Brian Leetch,D,NYR,3373000,
Kevin Stevens,LW,NYR,3062000,
Adam Graves,LW,NYR,3000000,
Mike Keane,RW,NYR,2500000,
Ulf Samuelsson,D,NYR,2250000,
Jeff Beukeboom,D,NYR,2000000,
Brian Skrudland,C,NYR,1950000,
Bruce Driver,D,NYR,1850000,
Alexei Kovalev,RW,NYR,1500000,
Alexander Karpovtsev,D,NYR,1450000,
Niklas Sundstrom,RW,NYR,820000,
Marc Savard,C,NYR,610000,
Bob Errey,LW,NYR,600000,
Doug Lidster,D,NYR,550000,
Johan Lindbom,RW,NYR,550000,
Mike Eastwood,C,NYR,500000,
Darren Langdon,LW,NYR,475000,
Bill Berg,C,NYR,450000,
Peter Ferraro,RW,NYR,450000,
Jeff Finley,D,NYR,450000,
Geoff Smith,D,NYR,450000,
Jason Muzzatti,G,NYR,375000,
Ryan VandenBussche,RW,NYR,350000,
Harry York,C,NYR,350000,
Brad Smyth,RW,NYR,300000,
Eric Cairns,D,NYR,235000,
Chris Gratton,C,PHI,10000000,
Eric Lindros,C,PHI,3748000,
Paul Coffey,D,PHI,2600000,
Sean Burke,G,PHI,2500000,
Luke Richardson,D,PHI,2500000,
Ron Hextall,G,PHI,2300000,
Joel Otto,C,PHI,2300000,
Alexandre Daigle,RW,PHI,1853410,
Eric Desjardins,D,PHI,1700000,
Rod Brind'Amour,C,PHI,1600000,
John LeClair,LW,PHI,1314000,
Kjell Samuelsson,D,PHI,1228000,
Pat Falloon,RW,PHI,1200000,
Chris Therien,D,PHI,950000,
Dave Babych,D,PHI,900000,
Janne Niinimaa,D,PHI,850000,
Dainius Zubrus,RW,PHI,800000,
Garth Snow,G,PHI,675000,
Mike Sillinger,C,PHI,625000,
John Druce,RW,PHI,600000,
Shjon Podein,LW,PHI,600000,
Daniel McGillis,D,PHI,524550,
Trent Klatt,RW,PHI,500000,
Dan Kordic,LW,PHI,450000,
Vaclav Prospal,LW,PHI,300000,
Daniel Lacroix,LW,PHI,275000,
Chris Joseph,D,PHI,250000,
Jaromir Jagr,RW,PIT,5100000,
Tom Barrasso,G,PIT,2717000,
Kevin Hatcher,D,PIT,2600000,
Ron Francis,C,PIT,1900000,
Darius Kasparaitis,D,PIT,1100000,
Ed Olczyk,C,PIT,1100000,
Ken Wregget,G,PIT,1100000,
Robert Dome,RW,PIT,850000,
Alexei Morozov,RW,PIT,850000,
Stu Barnes,C,PIT,800000,
Chris Tamer,D,PIT,800000,
Neil Wilkinson,D,PIT,700000,
Jiri Slegr,D,PIT,625000,
Greg Johnson,C,PIT,600000,
Fredrick Olausson,D,PIT,489580,
Garry Valk,LW,PIT,475000,
Chris Ferraro,C,PIT,450000,
Peter Ferraro,RW,PIT,450000,
Rob Brown,RW,PIT,400000,
Robert Lang,C,PIT,400000,
Martin Straka,C,PIT,400000,
Brad Werenka,D,PIT,400000,
Andreas Johansson,LW,PIT,375000,
Sean Pronger,C,PIT,375000,
Alex Hicks,LW,PIT,350000,
Ian Moran,D,PIT,350000,
Tyler Wright,C,PIT,300000,
Sean Burke,G,CAR,2500000,
Gary Roberts,LW,CAR,2500000,
Kirk McLean,G,CAR,2450000,
Jeff Brown,D,CAR,2100000,
Keith Primeau,C,CAR,1760000,
Glen Wesley,D,CAR,1750000,
Ray Sheppard,RW,CAR,1700000,
Steve Chiasson,D,CAR,1600000,
Geoff Sanderson,LW,CAR,1500000,
Trevor Kidd,G,CAR,1300000,
Nelson Emerson,RW,CAR,1100000,
Adam Burt,D,CAR,1000000,
Curtis Leschyshyn,D,CAR,900000,
Jeff O'Neill,C,CAR,900000,
Steve Leach,RW,CAR,875000,
Kevin Haller,D,CAR,850000,
Martin Gélinas,LW,CAR,825000,
Kevin Dineen,RW,CAR,737000,
Sean Hill,D,CAR,675000,
Steven Rice,RW,CAR,635000,
Robert Kron,C,CAR,625000,
Enrico Ciccone,D,CAR,600000,
Paul Ranheim,LW,CAR,550000,
Sami Kapanen,RW,CAR,500000,
Stu Grimson,LW,CAR,480000,
Steve Halko,D,CAR,425000,
Kent Manderville,C,CAR,375000,
Chris Murray,RW,CAR,185341,
Kirk McLean,G,FLA,2450000,
Dave Gagner,C,FLA,2300000,
John Vanbiesbrouck,G,FLA,2200000,
Scott Mellanby,RW,FLA,2000000,
