Serving HTTP on 0.0.0.0 port 8000 (http://0.0.0.0:8000/) ...
127.0.0.1 - - [08/Sep/2026 18:18:33] "GET /js/traits.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:33] "GET /js/logos.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:33] "GET /data/trophees.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:33] "GET /data/reputations.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:33] "GET /data/index.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:33] "GET /data/seasons/2001-02.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:33] "GET /fonts/BarlowCondensed-700-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:33] "GET /data/seasons/2020-21.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:33] "GET /data/seasons/1985-86.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /fonts/BarlowCondensed-800-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /js/game.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /js/sim.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /js/logos.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /js/recit.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /js/ratings.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /js/data.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /js/traits.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /data/trophees.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /data/reputations.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /data/index.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /data/seasons/2021-22.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /fonts/BarlowCondensed-700-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /data/seasons/1983-84.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /data/seasons/1971-72.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:36] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:36] "GET /fonts/BarlowCondensed-800-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:36] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:36] "GET /js/game.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:36] "GET /js/data.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:36] "GET /js/sim.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:36] "GET /js/traits.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:36] "GET /js/logos.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:36] "GET /js/recit.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:36] "GET /js/ratings.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:36] "GET /data/trophees.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:36] "GET /data/reputations.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:37] "GET /data/index.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:37] "GET /data/seasons/2002-03.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:37] "GET /fonts/BarlowCondensed-700-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:37] "GET /data/seasons/1998-99.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:37] "GET /data/seasons/2014-15.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:38] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:38] "GET /js/game.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:38] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:38] "GET /fonts/BarlowCondensed-800-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:38] "GET /js/data.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:38] "GET /js/sim.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:38] "GET /js/recit.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:38] "GET /js/logos.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:38] "GET /js/ratings.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:38] "GET /js/traits.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:38] "GET /data/reputations.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:38] "GET /data/trophees.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:38] "GET /data/index.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:38] "GET /data/seasons/1988-89.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:38] "GET /fonts/BarlowCondensed-700-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:39] "GET /data/seasons/2006-07.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:39] "GET /data/seasons/1982-83.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:41] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:41] "GET /fonts/BarlowCondensed-800-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:41] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:41] "GET /js/game.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:41] "GET /js/ratings.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:41] "GET /js/traits.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:41] "GET /js/data.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:41] "GET /js/logos.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:41] "GET /js/sim.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:41] "GET /js/recit.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:41] "GET /data/reputations.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:41] "GET /data/trophees.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:41] "GET /data/index.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:41] "GET /data/seasons/2023-24.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:41] "GET /fonts/BarlowCondensed-700-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:41] "GET /data/seasons/2018-19.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:41] "GET /data/seasons/1978-79.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:44] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:44] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:44] "GET /fonts/BarlowCondensed-800-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:44] "GET /js/game.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:44] "GET /js/data.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:44] "GET /js/recit.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:44] "GET /js/ratings.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:44] "GET /js/traits.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:44] "GET /js/logos.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:44] "GET /js/sim.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:44] "GET /data/reputations.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:44] "GET /data/trophees.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:44] "GET /data/index.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:44] "GET /data/seasons/1998-99.json HTTP/1.1" 200 -
